"BORROWER_ID","AGE_OF_RELATION_MONTHS","TOTAL_NO_OF_LOANS","TOTAL_LOAN_AMOUNT"
"STK2386094",42,1,122500
"STK2383363",42,1,161000
"STK2389112",42,1,160930
"STK1523778",42,1,234500
"STK2360667",42,1,106491
"STK2365188",42,1,307900
"STK2371138",42,1,132700
"STK2376052",42,1,167230
"STK2358930",42,1,57000
"STK321609",106,4,1154500
"STK2039048",42,1,105000
"STK2371980",42,1,185100
"STK2376821",42,1,143000
"STK2373473",42,1,107350
"STK2366443",42,1,139310
"STK2371073",42,1,95130
"STK2371626",42,1,164500
"STK2366358",42,6,711350
"STK2361910",42,1,119500
"STK2367773",42,2,182500
"STK2357651",42,1,45000
"STK1547866",68,6,1736404
"STK2370865",42,1,163200
"STK2376907",42,1,260000
"STK1259102",42,1,102000
"STK2380600",42,1,189000
"STK2371924",42,2,510500
"STK2373230",42,1,300500
"STK2372070",42,1,149660
"STK2251671",42,2,234700
"STK2362591",42,2,289850
"STK2365972",42,1,131500
"STK2236000",42,1,175000
"STK2381944",42,3,492000
"STK2383329",42,1,183190
"STK2386412",42,2,242000
"STK2380993",42,1,89400
"STK2385962",42,2,303495
"STK861241",42,1,164850
"STK2384325",42,1,156000
"STK2388385",42,1,164710
"STK2384233",42,1,103800
"STK2387536",42,1,138800
"STK2193650",42,1,171150
"STK2372334",42,2,337950
"STK974551",46,2,201400
"STK882900",42,1,139510
"STK2361977",42,1,100000
"STK1946162",42,1,146100
"STK2377533",42,1,122500
"STK2372867",42,2,277700
"STK2033902",42,2,539000
"STK2363251",42,1,161200
"STK1213393",42,1,147630
"STK921192",42,1,167200
"STK2364495",42,1,136430
"STK2376959",42,1,164850
"STK2373487",42,1,139500
"STK2380542",42,1,122500
"STK2379772",42,1,283850
"STK2367530",42,2,329870
"STK2376104",42,1,162000
"STK136214",179,2,168499.3
"STK2373849",42,1,138810
"STK2370571",42,1,307930
"STK2367329",42,1,164800
"STK2369955",42,1,93500
"STK2344867",42,2,229900
"STK2373255",42,1,139510
"STK2368319",42,1,169050
"STK685224",42,1,164850
"STK2361560",42,1,142712.5
"STK2384696",42,1,340000
"STK2371895",42,1,202950
"STK2387060",42,1,173495
"STK2390123",42,1,307930
"STK2389423",42,1,227570
"STK2384162",42,1,122300
"STK579534",42,2,281700
"STK559793",42,1,80000
"STK2255316",42,1,80000
"STK2363487",42,1,164800
"STK2373002",42,1,138800
"STK2366124",42,2,249852
"STK1158689",42,1,87500
"STK2357403",43,5,914850
"STK566060",42,1,132900
"STK2365705",42,1,126000
"STK2368147",42,1,150800
"STK2367191",42,1,148700
"STK2367743",42,1,164800
"STK2363387",42,1,300300
"STK2367174",42,1,138800
"STK2377148",42,2,275900
"STK2368997",42,1,167230
"STK2362498",42,1,87500
"STK2377866",42,1,119000
"STK2366750",42,2,299495
"STK2378377",42,1,174350
"STK2367663",42,1,138000
"STK2370067",42,2,331600
"STK1829185",42,1,146999
"STK2381789",42,1,117600
"STK2387155",42,1,278600
"STK2388793",42,1,167230
"STK2019246",42,3,598000
"STK2384490",42,1,127000
"STK2384922",42,1,138300
"STK2383100",42,1,112000
"STK2382752",42,1,140000
"STK2383398",42,1,90000
"STK2382002",42,2,794850
"STK2384533",42,2,180200
"STK2389224",42,1,101000
"STK2386053",42,1,164500
"STK2382351",42,1,164850
"STK880393",73,4,2160323
"STK2374096",42,1,112951.49
"STK2364685",42,1,102500
"STK1171571",42,1,139300
"STK2370794",42,1,104050
"STK2374109",42,1,146999
"STK2374204",42,2,486500
"STK2374362",42,1,214300
"STK129435",189,3,2614850
"STK2377366",42,1,146499
"STK2358721",42,1,164000
"STK579223",62,2,463000
"STK2377851",42,1,173495
"STK2373503",42,1,131000
"STK1439434",42,2,292250
"STK2367301",42,1,100000
"STK1972294",64,4,700580
"STK2362838",42,1,134499
"STK2380609",42,1,167230
"STK2375596",42,1,119329
"STK2378393",42,1,154000
"STK2374696",42,1,146999
"STK2365087",42,1,164499
"STK2377894",42,1,98700
"STK2366594",42,1,121600
"STK2372675",42,1,158700
"STK2389623",42,1,138800
"STK2384395",42,1,148700
"STK2388013",42,1,99500
"STK332169",106,2,417230
"STK2383382",42,1,174950
"STK714073",42,1,164500
"STK2389369",42,1,290500
"STK2380935",42,1,122500
"STK1105949",42,1,132930
"STK1704572",42,1,130000
"STK2343411",42,2,298829.48
"STK2348431",42,1,50000
"STK2365372",42,1,125999.3
"STK2362396",42,1,80600
"STK2365783",42,1,134000
"STK2367358",42,1,127990
"STK2369796",42,2,219300
"STK2366578",42,1,172850
"STK1428972",42,1,118500
"STK2380534",42,2,525407
"STK2352732",42,1,227570
"STK2369311",42,3,503000
"STK2380204",42,1,238000
"STK159774",42,1,122500
"STK2364651",42,2,349500
"STK2375263",42,1,102500
"STK2370816",42,1,125999.3
"STK2366075",42,1,149660
"STK2365367",42,1,183855
"STK2369604",42,1,219275
"STK2048184",42,1,173500
"STK2374889",42,3,347950
"STK2377877",42,1,117600
"STK2380889",42,1,176050
"STK2386467",42,1,129900
"STK2201004",42,2,227499
"STK2382529",42,2,272550
"STK2386324",42,1,255493
"STK2383367",42,1,146999
"STK2386069",42,1,114000
"STK2387069",42,2,393925
"STK1630256",42,1,120000
"STK2390104",42,1,122500
"STK2381411",42,1,234990
"STK2386723",42,2,240000
"STK2385237",42,2,892400
"STK2383554",42,1,122300
"STK2360720",42,1,121030
"STK2373383",42,1,149660
"STK2371729",42,1,95130
"STK2369589",42,1,148750
"STK2377445",42,1,145000
"STK2377770",42,1,148500
