"BORROWER_ID","AGE_OF_RELATION_MONTHS","TOTAL_NO_OF_LOANS","TOTAL_LOAN_AMOUNT"
"STK1585430",42,1,84000
"STK1200813",42,1,122400
"STK2376135",42,1,100000
"STK1326109",42,1,158500
"STK1225782",42,2,245200
"STK2372883",42,1,109500
"STK1703631",56,2,403600
"STK2379900",42,1,200000
"STK2378568",42,1,164500
"STK248003",42,1,164850
"STK2373028",42,1,237500
"STK2371706",42,1,159011.65
"STK1247987",42,1,60000
"STK2343264",42,1,276000
"STK1232878",42,1,171150
"STK173134",42,1,164500
"STK2368878",42,3,245000
"STK661671",42,1,164850
"STK2373215",42,1,164000
"STK2370839",42,2,240150
"STK2366758",42,1,162815
"STK2381799",42,1,61600
"STK2383059",42,1,145500
"STK1531881",42,1,98630
"STK2383442",42,1,158500
"STK1668942",42,1,167230
"STK2384950",42,2,371000
"STK2388981",42,1,85000
"STK2384746",42,1,172495
"STK2372056",42,2,381493
"STK2367225",42,1,167230
"STK2370816",42,1,125999.3
"STK1300892",42,1,164850
"STK2378834",42,2,281700
"STK1851957",42,1,307930
"STK2370773",42,1,171150
"STK2365523",42,1,143500
"STK2369865",42,2,279850
"STK2365968",42,1,285000
"STK2366499",42,1,173350
"STK2372658",42,1,138800
"STK2379005",42,1,103600
"STK2371710",42,1,146000
"STK2376642",42,2,218500
"STK2365860",42,1,301850
"STK2366822",42,1,164500
"STK2374025",42,1,167499
"STK2204545",42,1,131300
"STK2366970",42,1,161500
"STK2373381",42,1,159250
"STK2365314",42,1,148700
"STK2378994",42,1,234850
"STK1513139",42,1,118999
"STK2379468",42,1,148700
"STK2377025",42,1,164500
"STK942310",42,1,245490
"STK2386902",42,1,148750
"STK2373408",42,1,133000
"STK2381246",42,1,164500
"STK2386782",42,1,164850
"STK2023934",42,2,172500
"STK2355053",42,1,195000
"STK2376869",42,1,164850
"STK2370183",42,1,100100
"STK2370989",42,1,105000
"STK1413152",42,1,140400
"STK2373699",42,1,132125
"STK2364276",42,1,103950
"STK2372837",42,1,160000
"STK2368615",42,1,159250
"STK2373885",42,1,173495
"STK2374567",42,1,138800
"STK2371759",42,1,165400
"STK2371960",42,2,213500
"STK2371473",42,1,124450
"STK2370191",42,1,234000
"STK594881",42,1,183995
"STK2374084",42,2,240850
"STK1479915",42,1,122500
"STK2180969",42,1,164850
"STK2361333",42,1,162559
"STK2368742",42,1,139999
"STK2366200",42,1,171150
"STK895114",42,1,160230
"STK2363768",42,1,112500
"STK2368421",42,1,147000
"STK2372672",42,1,159000
"STK777194",42,1,138810
"STK1302742",42,1,132930
"STK2366251",42,1,141361
"STK2371633",42,2,348700
"STK2312233",42,1,163000
"STK2380533",42,1,290500
"STK2377763",42,1,73500
"STK2372065",42,1,227100
"STK2373116",42,1,75000
"STK2382721",42,1,132930
"STK2368951",42,1,138000
"STK2383048",42,1,159000
"STK2385015",42,1,89500
"STK2382344",42,1,163000
"STK2381372",42,1,139510
"STK2389390",42,1,164850
"STK1100877",42,1,87500
"STK2363234",42,2,260800
"STK2231509",42,1,231000
"STK2377134",42,2,211000
"STK2366593",42,1,183190
"STK2186874",42,2,238000
"STK2372292",42,1,257320
"STK153762",42,1,171000
"STK2369778",42,1,137000
"STK2369210",42,1,143499
"STK2087405",42,1,87500
"STK2371226",42,1,146999
"STK2364101",42,1,146500
"STK1985091",42,3,1173499
"STK2369038",42,1,147000
"STK2130726",42,2,229660
"STK2366421",42,1,164710
"STK2372091",42,3,451050
"STK2369313",42,1,128350
"STK402910",99,2,300250
"STK990834",42,1,183855
"STK2381820",42,1,290500
"STK2383210",42,1,135500
"STK1106015",42,2,252750
"STK2379646",42,1,112500
"STK2383240",42,1,114000
"STK2386866",42,1,146999
"STK2381727",42,1,216490
"STK2381477",42,1,171000
"STK2384329",42,1,171000
"STK2386890",42,2,490500
"STK2383599",42,1,138800
"STK1800842",42,1,262430
"STK2387104",42,1,122500
"STK1556737",42,1,143500
"STK1320896",42,2,221999
"STK2367494",42,3,276499
"STK2374409",42,1,162800
"STK2372039",42,1,115500
"STK2374711",42,1,164500
"STK254896",112,5,1567230
"STK2365935",42,2,279850
"STK2365460",42,2,327839
"STK2379364",42,1,167930
"STK2370068",42,1,135700
"STK2371462",42,1,147000
"STK2366829",42,1,219000
"STK2378858",42,1,120000
"STK2372657",42,1,113450
"STK2369828",42,1,314300
"STK2368223",42,1,164850
"STK2375070",42,4,3975619.6
"STK2365594",42,1,164800
"STK2371523",42,1,183190
"STK2366426",42,1,164850
"STK1170521",42,1,164500
"STK2369946",42,1,61600
"STK2076391",51,2,323850
"STK2387387",42,1,269500
"STK2387183",42,1,96800
"STK2382020",42,1,170500
"STK2386635",42,1,154000
"STK2379882",42,1,169000
"STK2387122",42,1,150000
"STK2381152",42,2,284850
"STK2385413",42,2,446110
"STK415675",42,1,164000
"STK2384529",42,1,157465
"STK2382520",42,1,110600
"STK2389821",42,1,171000
"STK2389119",42,2,399100
"STK2372035",42,1,120500
"STK1434276",42,1,167230
"STK2026412",54,4,837415
"STK1971019",51,7,5660230
"STK2365868",42,2,355880
"STK2371981",42,1,171000
"STK423155",42,1,164850
"STK2372613",42,1,145500
"STK2379261",42,1,157400
"STK2376443",42,1,149000
"STK2246149",42,1,210000
"STK2367051",42,2,448000
"STK1752450",42,1,148750
"STK2368163",42,1,137000
"STK2378158",42,1,267750
"STK469836",91,6,2238000
"STK2367929",42,1,163200
"STK2367259",42,1,164850
"STK2376185",42,1,153300
"STK642054",52,4,646999
"STK2370283",42,1,116100
"STK397436",42,1,164499
"STK2373238",42,1,164850
"STK2363320",42,1,174999
"STK2364440",42,1,245175
"STK2363067",42,1,160930
"STK1182261",42,1,136430
"STK2369647",42,1,137000
"STK2366208",42,2,198800
"STK2369408",42,1,98630
"STK2386060",42,1,150850
"STK454015",42,1,171150
"STK2386674",42,2,409921
"STK2384207",42,1,286930
"STK2387120",42,1,164850
"STK2381969",42,1,122500
"STK2389362",42,1,164850
"STK1020092",42,1,98630
"STK2361983",42,1,176324
"STK2367493",42,1,199499
"STK2366782",42,2,198810
"STK2008617",61,4,734700
"STK2371183",42,1,147000
"STK1432883",42,1,92500
"STK2374873",42,1,128810
"STK2380575",42,1,330000
"STK1550441",70,2,550000
"STK771492",72,2,276550
"STK2377867",42,1,174965
"STK2379664",42,1,307930
"STK2372183",42,1,160500
"STK2372481",42,1,127000
"STK2366481",42,1,179150
"STK1838866",42,1,138800
"STK2379714",42,1,134150
"STK757810",42,1,136430
"STK1644320",42,1,138810
"STK2372394",42,1,174965
"STK93432",42,2,198000
"STK445525",93,2,278700
"STK2374441",42,1,164000
"STK2367277",42,1,227570
"STK2366368",42,1,194470
"STK2375796",42,1,171150
"STK2382940",42,1,139510
"STK2380694",42,1,103600
"STK2382451",42,1,283850
"STK2387348",42,1,122430
"STK2387037",42,1,164800
"STK1245059",42,1,118990
"STK2382754",42,1,238000
"STK2161589",42,1,290500
"STK2382729",42,1,119000
"STK2384653",42,1,164500
"STK1092136",68,2,316000
"STK1746292",42,1,164850
"STK2196795",42,1,164850
"STK2369504",42,1,238914
"STK2370121",42,1,130430
"STK2369295",42,2,439900
"STK2363653",42,1,146999
"STK2373342",42,2,291450
"STK2373293",42,1,164000
"STK2319019",42,1,105000
"STK2370889",42,1,60000
"STK2371676",42,1,110600
"STK2372237",42,1,167230
"STK1550080",50,5,1155730
"STK2367333",42,2,256350
"STK2371733",42,1,288600
"STK2374054",42,1,164500
"STK2365236",42,1,110000
"STK752422",42,1,141500
"STK2380670",42,1,248066
"STK2206595",47,2,288000
"STK2370507",42,1,142000
"STK1351983",42,1,164850
"STK2367841",42,1,238000
"STK2377513",42,1,115000
"STK2367231",42,1,98000
"STK204008",42,2,255250
"STK2368107",42,4,8254660
"STK2365494",42,1,191500
"STK2369952",42,1,164800
"STK2376023",42,5,917437
"STK2375748",42,1,137000
"STK2374254",42,1,269500
"STK2381281",42,1,164500
"STK2381934",42,2,299495
"STK2386898",42,1,164850
"STK2111644",42,2,198530
"STK2380555",42,1,98630
"STK2180055",42,1,98630
"STK1483528",42,1,164850
"STK2387006",42,1,116500
"STK1425155",42,1,106491
"STK2378478",42,1,236300
"STK2225858",42,2,272230
"STK2377014",42,1,109299
"STK2365309",42,1,91630
"STK2378639",42,1,117500
"STK2060705",42,1,130000
"STK2379862",42,1,159250
"STK2375252",42,1,75000
"STK2375527",42,2,492000
"STK1963662",42,1,236000
"STK2371497",42,1,75650
"STK2367177",42,1,139510
"STK2377280",42,1,92600
"STK704374",42,1,164499
"STK2375669",42,1,307930
"STK2376401",42,1,122500
"STK1372600",42,1,157430
"STK2372120",42,1,165000
"STK2370692",42,1,167230
"STK2365430",42,1,183650
"STK2373438",42,1,147026
"STK1012750",42,1,164850
"STK2384195",42,1,249900
"STK2381440",42,1,290500
"STK2382852",42,1,164800
"STK2375267",42,1,234500
"STK2380143",42,1,173495
"STK2382371",42,1,163900
"STK2384833",42,1,135500
"STK2388860",42,1,184200
"STK2388794",42,1,167230
"STK2389813",42,1,159350
