"CONTRACT_NO","BORROWER_ID","LOAN_NAME","LOAN_TYPE","PRINCIPAL_AMOUNT","DATE_OF_ISSUE","INTEREST_RATE","INTEREST_TYPE","LOAN_PERIOD","EMI_AMOUNT","MORTAGE_TYPE","MORTAGE_AMOUNT","NO_OF_DAYS_IN_ARREARS","LOAN_STATUS"
"KKMBA006568","STK2378389","MOTOR BICYCLE ","LEASING",122500,24-01-17,43.86,"EFFECTIVE_RATE",30,6791,"VEHICLE",175000,30,"PERFORMING"
"KKMBA006605","STK2379098","MOTOR BICYCLE ","LEASING",97500,24-01-17,38.23,"EFFECTIVE_RATE",36,4591,"VEHICLE",148000,-30,"PERFORMING"
"CGMBA018239","STK2379355","MOTOR BICYCLE ","LEASING",164000,23-01-17,43.27,"EFFECTIVE_RATE",24,10327,"VEHICLE",235500,-493.5,"PERFORMING"
"KRMBA010042","STK2379714","MOTOR BICYCLE ","LEASING",134150,23-01-17,43.53,"EFFECTIVE_RATE",36,6734,"VEHICLE",262650,-180,"PERFORMING"
"NCMBA005219","STK136214","MOTOR BICYCLE ","LEASING",146999.3,04-01-17,40.53,"EFFECTIVE_RATE",36,7118,"VEHICLE",209999,-30,"PERFORMING"
"NTMBA007510","STK757810","MOTOR BICYCLE ","LEASING",136430,05-01-17,41.31,"EFFECTIVE_RATE",36,6669,"VEHICLE",194900,160.8,"PERFORMING"
"NTMBA007466","STK2365720","MOTOR BICYCLE ","LEASING",227430,03-01-17,38.74,"EFFECTIVE_RATE",36,10776,"VEHICLE",324900,0,"PERFORMING"
"BMMBA011786","STK2366081","MOTOR BICYCLE ","LEASING",164850,04-01-17,42.05,"EFFECTIVE_RATE",24,10271,"VEHICLE",235500,-30,"PERFORMING"
"TRMBA010112","STK2363747","MOTOR BICYCLE ","LEASING",103900,04-01-17,40,"EFFECTIVE_RATE",24,6358,"VEHICLE",148500,434.1,"NPL"
"BMMBA011768","STK2366542","MOTOR BICYCLE ","LEASING",164850,04-01-17,34.73,"EFFECTIVE_RATE",48,6398,"VEHICLE",235500,689.1,"NPL"
"AVMBA010343","STK2368223","MOTOR BICYCLE ","LEASING",164850,06-01-17,26,"EFFECTIVE_RATE",36,6642,"VEHICLE",235500,0,"PERFORMING"
"TDMBA004519","STK182211","MOTOR BICYCLE ","LEASING",148400,09-01-17,47.99,"EFFECTIVE_RATE",12,15812,"VEHICLE",238900,0,"PERFORMING"
"KTMBA008982","STK2368907","MOTOR BICYCLE ","LEASING",283850,16-01-17,37.47,"EFFECTIVE_RATE",48,11490,"VEHICLE",405500,15.3,"PERFORMING"
"MGMBA018619","STK2368997","MOTOR BICYCLE ","LEASING",167230,13-01-17,37.86,"EFFECTIVE_RATE",48,6810,"VEHICLE",238900,92.1,"PERFORMING"
"PTMBA007183","STK1644320","MOTOR BICYCLE ","LEASING",138810,10-01-17,43.03,"EFFECTIVE_RATE",30,7629,"VEHICLE",198300,-30,"PERFORMING"
"WYMBA004670","STK2344859","MOTOR BICYCLE ","LEASING",162050,20-01-17,26,"EFFECTIVE_RATE",24,8731,"VEHICLE",235500,-30,"PERFORMING"
"TBMBA011494","STK2370507","MOTOR BICYCLE ","LEASING",142000,11-01-17,37.76,"EFFECTIVE_RATE",36,6648,"VEHICLE",203875,-500.1,"PERFORMING"
"GNMBA015409","STK2371086","MOTOR BICYCLE ","LEASING",109200,18-01-17,36.31,"EFFECTIVE_RATE",24,6466,"VEHICLE",175000,-457.8,"PERFORMING"
"WTMBA013340","STK1988703","MOTOR BICYCLE ","LEASING",147660,13-01-17,36.6,"EFFECTIVE_RATE",30,7583,"VEHICLE",213800,-120,"PERFORMING"
"BKMBA005295","STK1749132","MOTOR BICYCLE ","LEASING",146999.3,13-01-17,39.13,"EFFECTIVE_RATE",42,6477,"VEHICLE",209999,207,"NPL"
"MHMBA009767","STK2356929","MOTOR BICYCLE ","LEASING",62200,19-01-17,84.66,"EFFECTIVE_RATE",12,7855,"VEHICLE",244500,-150,"PERFORMING"
"KNMBA012864","STK2372120","MOTOR BICYCLE ","LEASING",165000,24-01-17,40.31,"EFFECTIVE_RATE",30,8814,"VEHICLE",235500,-291.9,"PERFORMING"
"BMMBA012314","STK2375070","MOTOR BICYCLE ","LEASING",164850,18-01-17,38.22,"EFFECTIVE_RATE",36,7761,"VEHICLE",235500,-527.4,"PERFORMING"
"KUMBA020632","STK2356324","MOTOR BICYCLE ","LEASING",226068,02-01-17,32.73,"EFFECTIVE_RATE",36,9939,"VEHICLE",325100,90,"PERFORMING"
"BLMBA008517","STK2365455","MOTOR BICYCLE ","LEASING",231000,03-01-17,34.49,"EFFECTIVE_RATE",36,10383,"VEHICLE",330000,-60,"PERFORMING"
"GWMBA009347","STK397436","MOTOR BICYCLE ","LEASING",164499,04-01-17,36.32,"EFFECTIVE_RATE",36,7565,"VEHICLE",234999,-231,"PERFORMING"
"GNMBA014826","STK993588","MOTOR BICYCLE ","LEASING",112000,04-01-17,33.83,"EFFECTIVE_RATE",24,6486,"VEHICLE",160000,-120,"PERFORMING"
"ARMBA012624","STK2366738","MOTOR BICYCLE ","LEASING",164850,05-01-17,40.17,"EFFECTIVE_RATE",36,7948,"VEHICLE",235500,612.9,"NPL"
"ARMBA012642","STK2366824","MOTOR BICYCLE ","LEASING",164850,05-01-17,40.17,"EFFECTIVE_RATE",36,7948,"VEHICLE",235500,244.8,"NPL"
"AMMBA007008","STK1351983","MOTOR BICYCLE ","LEASING",164850,06-01-17,36.18,"EFFECTIVE_RATE",36,7568,"VEHICLE",235500,281.4,"NPL"
"NTMBA007596","STK2367618","MOTOR BICYCLE ","LEASING",164465,06-01-17,39.56,"EFFECTIVE_RATE",36,7871,"VEHICLE",234950,702.3,"NPL"
"WTMBA013252","STK2368925","MOTOR BICYCLE ","LEASING",187150,09-01-17,56.57,"EFFECTIVE_RATE",12,20777,"VEHICLE",262650,-30,"PERFORMING"
"MPMBA009163","STK2365594","MOTOR BICYCLE ","LEASING",164800,11-01-17,40.59,"EFFECTIVE_RATE",36,7986,"VEHICLE",235500,-144.9,"PERFORMING"
"POMBA010200","STK2370270","MOTOR BICYCLE ","LEASING",164500,11-01-17,47.09,"EFFECTIVE_RATE",24,10706,"VEHICLE",235500,-90,"PERFORMING"
"MPMBA009293","STK2368331","MOTOR BICYCLE ","LEASING",149600,13-01-17,36.73,"EFFECTIVE_RATE",36,6915,"VEHICLE",213800,267.9,"NPL"
"MOMBA006940","STK2372394","MOTOR BICYCLE ","LEASING",174965,20-01-17,41.86,"EFFECTIVE_RATE",36,8609,"VEHICLE",249950,274.2,"NPL"
"MDMBA006056","STK266146","MOTOR BICYCLE ","LEASING",105000,23-01-17,31.7,"EFFECTIVE_RATE",36,4556,"VEHICLE",160000,190.5,"NPL"
"PDMBA005738","STK2204545","MOTOR BICYCLE ","LEASING",131300,18-01-17,42.8,"EFFECTIVE_RATE",36,6534,"VEHICLE",198300,-234.9,"PERFORMING"
"BBMBA004861","STK2373632","MOTOR BICYCLE ","LEASING",167200,20-01-17,40.68,"EFFECTIVE_RATE",36,8111,"VEHICLE",238900,0,"PERFORMING"
"EMMBA015968","STK1704165","MOTOR BICYCLE ","LEASING",161000,20-01-17,28,"EFFECTIVE_RATE",24,8838,"VEHICLE",300000,-285.9,"PERFORMING"
"PLMBA015092","STK2377963","MOTOR BICYCLE ","LEASING",122850,20-01-17,38.97,"EFFECTIVE_RATE",24,7449,"VEHICLE",247850,0,"PERFORMING"
"ANMBA008920","STK2378262","MOTOR BICYCLE ","LEASING",183190,23-01-17,39.86,"EFFECTIVE_RATE",36,8799,"VEHICLE",261700,90,"PERFORMING"
"KRMBA010051","STK2379745","MOTOR BICYCLE ","LEASING",300510,23-01-17,38.81,"EFFECTIVE_RATE",36,14250,"VEHICLE",429300,90,"PERFORMING"
"PLMBA015278","STK2380644","MOTOR BICYCLE ","LEASING",124600,24-01-17,37.82,"EFFECTIVE_RATE",24,7479,"VEHICLE",215500,-30,"PERFORMING"
"BWMBA006650","STK2380654","MOTOR BICYCLE ","LEASING",103400,24-01-17,26,"EFFECTIVE_RATE",30,4724,"VEHICLE",235500,-30,"PERFORMING"
"PGMBA010440","STK2363191","MOTOR BICYCLE ","LEASING",164850,02-01-17,40.64,"EFFECTIVE_RATE",36,7993,"VEHICLE",235500,-60,"PERFORMING"
"THMBA006032","STK2366293","MOTOR BICYCLE ","LEASING",74510,04-01-17,28,"EFFECTIVE_RATE",6,13452,"VEHICLE",189900,-144.9,"PERFORMING"
"MOMBA006476","STK2362498","MOTOR BICYCLE ","LEASING",87500,05-01-17,45.72,"EFFECTIVE_RATE",36,4507,"VEHICLE",125000,919.8,"NPL"
"MGMBA018363","STK2367841","MOTOR BICYCLE ","LEASING",238000,06-01-17,39.15,"EFFECTIVE_RATE",36,11333,"VEHICLE",340000,169.5,"PERFORMING"
"NPMBA004830","STK2369843","MOTOR BICYCLE ","LEASING",145000,10-01-17,39.68,"EFFECTIVE_RATE",30,7695,"VEHICLE",235500,0,"PERFORMING"
"BTMBA015065","STK2371090","MOTOR BICYCLE ","LEASING",257300,11-01-17,42.7,"EFFECTIVE_RATE",24,16122,"VEHICLE",367600,-30,"PERFORMING"
"MPMBA009248","STK2368717","MOTOR BICYCLE ","LEASING",147000,13-01-17,70.73,"EFFECTIVE_RATE",6,29795,"VEHICLE",235500,-138.3,"PERFORMING"
"APMBA012916","STK2375708","MOTOR BICYCLE ","LEASING",98468,19-01-17,28,"EFFECTIVE_RATE",12,9503,"VEHICLE",213800,-255.6,"PERFORMING"
"WWMBA007954","STK2377035","MOTOR BICYCLE ","LEASING",110000,24-01-17,39.64,"EFFECTIVE_RATE",36,5270,"VEHICLE",325000,-732.6,"PERFORMING"
"KRMBA009460","STK1985091","MOTOR BICYCLE ","LEASING",164499,02-01-17,41.15,"EFFECTIVE_RATE",24,10168,"VEHICLE",234999,-30,"PERFORMING"
"MGMBA018479","STK2366251","MOTOR BICYCLE ","LEASING",141361,10-01-17,25.5,"EFFECTIVE_RATE",12,13470,"VEHICLE",212500,-120,"PERFORMING"
"CWMBA009910","STK2367267","MOTOR BICYCLE ","LEASING",135600,13-01-17,39.45,"EFFECTIVE_RATE",24,8257,"VEHICLE",198300,0,"PERFORMING"
"NDMBA012156","STK2368051","MOTOR BICYCLE ","LEASING",190000,10-01-17,34.7,"EFFECTIVE_RATE",36,8563,"VEHICLE",280000,157.8,"PERFORMING"
"PGMBA010866","STK2370986","MOTOR BICYCLE ","LEASING",138810,11-01-17,36.82,"EFFECTIVE_RATE",36,6424,"VEHICLE",198300,171.6,"PERFORMING"
"NGMBA015092","STK2372037","MOTOR BICYCLE ","LEASING",278000,16-01-17,37.5,"EFFECTIVE_RATE",36,12973,"VEHICLE",415000,163.8,"PERFORMING"
"NGMBA015126","STK2372958","MOTOR BICYCLE ","LEASING",163730,16-01-17,45.64,"EFFECTIVE_RATE",24,10524,"VEHICLE",233900,60,"PERFORMING"
"CWMBA010255","STK2376073","MOTOR BICYCLE ","LEASING",138800,23-01-17,45.98,"EFFECTIVE_RATE",24,8948,"VEHICLE",198300,-30,"PERFORMING"
"TBMBA011786","STK93432","MOTOR BICYCLE ","LEASING",102000,20-01-17,28,"EFFECTIVE_RATE",24,5599,"VEHICLE",170000,300,"NPL"
"AVMBA010848","STK282593","MOTOR BICYCLE ","LEASING",212000,24-01-17,28,"EFFECTIVE_RATE",18,14559,"VEHICLE",340000,60,"PERFORMING"
"AWMBA007077","STK2379543","MOTOR BICYCLE ","LEASING",122500,24-01-17,38.51,"EFFECTIVE_RATE",36,5788,"VEHICLE",175000,0,"PERFORMING"
"KTMBA009224","STK2380624","MOTOR BICYCLE ","LEASING",132930,26-01-17,34.86,"EFFECTIVE_RATE",36,6003,"VEHICLE",189900,0,"PERFORMING"
"MPMBA009576","STK2380005","MOTOR BICYCLE ","LEASING",150200,25-01-17,35.55,"EFFECTIVE_RATE",36,6842,"VEHICLE",235500,196.8,"NPL"
"RTMBA013261","STK2233750","MOTOR BICYCLE ","LEASING",221544,24-01-17,31.42,"EFFECTIVE_RATE",36,9579,"VEHICLE",325100,-692.7,"PERFORMING"
"KTMBA008654","STK945190","MOTOR BICYCLE ","LEASING",171500,03-01-17,38.08,"EFFECTIVE_RATE",36,8060,"VEHICLE",245000,-30,"PERFORMING"
"DKMBA008920","STK2366329","MOTOR BICYCLE ","LEASING",115500,04-01-17,42.85,"EFFECTIVE_RATE",12,12003,"VEHICLE",165000,-60,"PERFORMING"
"KRMBA009514","STK2366723","MOTOR BICYCLE ","LEASING",138810,05-01-17,44.6,"EFFECTIVE_RATE",24,8842,"VEHICLE",198300,0,"PERFORMING"
"BLMBA008739","STK2366663","MOTOR BICYCLE ","LEASING",79500,04-01-17,63.84,"EFFECTIVE_RATE",12,9133,"VEHICLE",168000,-60,"PERFORMING"
"VWMBA008647","STK2035681","MOTOR BICYCLE ","LEASING",350000,04-01-17,28,"EFFECTIVE_RATE",18,24036,"VEHICLE",500000,150,"PERFORMING"
"NTMBA007565","STK2366670","MOTOR BICYCLE ","LEASING",168900,06-01-17,44.76,"EFFECTIVE_RATE",24,10774,"VEHICLE",399900,0,"PERFORMING"
"POMBA010079","STK1100489","MOTOR BICYCLE ","LEASING",156551,05-01-17,31.53,"EFFECTIVE_RATE",42,6200,"VEHICLE",235500,-78.9,"PERFORMING"
"NKMBA011519","STK2368082","MOTOR BICYCLE ","LEASING",145900,09-01-17,36.38,"EFFECTIVE_RATE",18,10637,"VEHICLE",235500,-60,"PERFORMING"
"TRMBA010246","STK269902","MOTOR BICYCLE ","LEASING",164400,09-01-17,39.97,"EFFECTIVE_RATE",36,7907,"VEHICLE",235500,244.2,"NPL"
"PLMBA014677","STK2369421","MOTOR BICYCLE ","LEASING",164850,10-01-17,36.46,"EFFECTIVE_RATE",36,7595,"VEHICLE",235500,120,"PERFORMING"
"EMMBA015667","STK2369919","MOTOR BICYCLE ","LEASING",95130,11-01-17,42.89,"EFFECTIVE_RATE",24,5971,"VEHICLE",135900,-30,"PERFORMING"
"CWMBA009996","STK2371523","MOTOR BICYCLE ","LEASING",183190,16-01-17,44.33,"EFFECTIVE_RATE",24,11642,"VEHICLE",261700,277.2,"NPL"
"NTMBA008012","STK2372404","MOTOR BICYCLE ","LEASING",174965,19-01-17,39.29,"EFFECTIVE_RATE",36,8346,"VEHICLE",249950,0,"PERFORMING"
"NAMBA007886","STK2373849","MOTOR BICYCLE ","LEASING",138810,17-01-17,40.38,"EFFECTIVE_RATE",36,6709,"VEHICLE",198300,-60,"PERFORMING"
"JFMBA008760","STK2372957","MOTOR BICYCLE ","LEASING",525000,19-01-17,34.39,"EFFECTIVE_RATE",48,20267,"VEHICLE",750000,-902.4,"PERFORMING"
"NGMBA015214","STK2374138","MOTOR BICYCLE ","LEASING",173495,17-01-17,40.57,"EFFECTIVE_RATE",36,8405,"VEHICLE",247850,-60,"PERFORMING"
"RTMBA013021","STK1966813","MOTOR BICYCLE ","LEASING",86500,19-01-17,56.63,"EFFECTIVE_RATE",24,6099,"VEHICLE",175000,-30,"PERFORMING"
"MGMBA018275","STK344181","MOTOR BICYCLE ","LEASING",247136,04-01-17,26,"EFFECTIVE_RATE",18,16728,"VEHICLE",405500,0,"PERFORMING"
"POMBA010042","STK1109943","MOTOR BICYCLE ","LEASING",290500,04-01-17,37.45,"EFFECTIVE_RATE",48,11756,"VEHICLE",415000,539.7,"NPL"
"MOMBA006445","STK2366734","MOTOR BICYCLE ","LEASING",174965,05-01-17,40.78,"EFFECTIVE_RATE",36,8498,"VEHICLE",249950,141.9,"PERFORMING"
"KUMBA020951","STK2367067","MOTOR BICYCLE ","LEASING",137000,06-01-17,39.28,"EFFECTIVE_RATE",36,6534,"VEHICLE",198300,0,"PERFORMING"
"BTMBA014677","STK2280351","MOTOR BICYCLE ","LEASING",249900,09-01-17,54.54,"EFFECTIVE_RATE",12,27477,"VEHICLE",439900,-30,"PERFORMING"
"PGMBA010750","STK2368087","MOTOR BICYCLE ","LEASING",226500,06-01-17,32.75,"EFFECTIVE_RATE",36,9960,"VEHICLE",335000,0,"PERFORMING"
"BTMBA014923","STK1771138","MOTOR BICYCLE ","LEASING",151000,10-01-17,37.79,"EFFECTIVE_RATE",36,7072,"VEHICLE",229500,-150,"PERFORMING"
"ARMBA013058","STK2369554","MOTOR BICYCLE ","LEASING",159250,11-01-17,32.18,"EFFECTIVE_RATE",36,6952,"VEHICLE",227500,0,"PERFORMING"
"GWMBA009538","STK2370240","MOTOR BICYCLE ","LEASING",157500,11-01-17,28,"EFFECTIVE_RATE",48,5490,"VEHICLE",235500,-288.3,"PERFORMING"
"KUMBA021400","STK2370427","MOTOR BICYCLE ","LEASING",100100,16-01-17,39.17,"EFFECTIVE_RATE",24,6081,"VEHICLE",143000,827.4,"NPL"
"WYMBA004625","STK2366426","MOTOR BICYCLE ","LEASING",164850,18-01-17,36.79,"EFFECTIVE_RATE",24,9804,"VEHICLE",235500,0,"PERFORMING"
"KPMBA013340","STK2371365","MOTOR BICYCLE ","LEASING",100100,13-01-17,46.99,"EFFECTIVE_RATE",24,6509,"VEHICLE",143000,60,"PERFORMING"
"GNMBA015597","STK1622910","MOTOR BICYCLE ","LEASING",94500,19-01-17,43.86,"EFFECTIVE_RATE",24,5981,"VEHICLE",143000,30,"PERFORMING"
"HRMBA007206","STK2365099","MOTOR BICYCLE ","LEASING",70000,03-01-17,30,"EFFECTIVE_RATE",12,6825,"VEHICLE",140000,60,"PERFORMING"
"BMMBA011643","STK445525","MOTOR BICYCLE ","LEASING",128700,03-01-17,35.78,"EFFECTIVE_RATE",36,5879,"VEHICLE",235500,0,"PERFORMING"
"AWMBA006599","STK1033208","MOTOR BICYCLE ","LEASING",121030,04-01-17,33.89,"EFFECTIVE_RATE",36,5400,"VEHICLE",172900,-60,"PERFORMING"
"PLMBA014473","STK2366553","MOTOR BICYCLE ","LEASING",164850,07-01-17,36.46,"EFFECTIVE_RATE",36,7595,"VEHICLE",235500,-30,"PERFORMING"
"ARMBA012341","STK248003","MOTOR BICYCLE ","LEASING",164850,04-01-17,40.18,"EFFECTIVE_RATE",36,7949,"VEHICLE",235500,176.1,"PERFORMING"
"NGMBA014862","STK2366970","MOTOR BICYCLE ","LEASING",161500,09-01-17,28,"EFFECTIVE_RATE",36,6681,"VEHICLE",415000,0,"PERFORMING"
"CGMBA017133","STK2368745","MOTOR BICYCLE ","LEASING",164850,09-01-17,41.46,"EFFECTIVE_RATE",24,10218,"VEHICLE",235500,-390,"PERFORMING"
"NGMBA014923","STK2370571","MOTOR BICYCLE ","LEASING",307930,11-01-17,38.77,"EFFECTIVE_RATE",36,14595,"VEHICLE",439900,-30,"PERFORMING"
"BMMBA012147","STK2371633","MOTOR BICYCLE ","LEASING",98700,13-01-17,43.65,"EFFECTIVE_RATE",24,6236,"VEHICLE",235500,0,"PERFORMING"
"KTMBA008913","STK2371672","MOTOR BICYCLE ","LEASING",224000,13-01-17,42.04,"EFFECTIVE_RATE",24,13954,"VEHICLE",319999,-30,"PERFORMING"
"KPMBA013331","STK2372070","MOTOR BICYCLE ","LEASING",149660,13-01-17,48.07,"EFFECTIVE_RATE",18,11828,"VEHICLE",213800,0,"PERFORMING"
"EMMBA015852","STK2373238","MOTOR BICYCLE ","LEASING",164850,17-01-17,39.58,"EFFECTIVE_RATE",36,7891,"VEHICLE",235500,165.9,"PERFORMING"
"TDMBA004601","STK2373903","MOTOR BICYCLE ","LEASING",227550,17-01-17,37.53,"EFFECTIVE_RATE",48,9219,"VEHICLE",325100,-411.9,"PERFORMING"
"KRMBA010121","STK1704286","MOTOR BICYCLE ","LEASING",63000,24-01-17,35.61,"EFFECTIVE_RATE",12,6317,"VEHICLE",105000,90,"PERFORMING"
"MWMBA014932","STK2375930","MOTOR BICYCLE ","LEASING",126000,20-01-17,39.77,"EFFECTIVE_RATE",36,6045,"VEHICLE",210000,-30,"PERFORMING"
"GNMBA014783","STK2364651","MOTOR BICYCLE ","LEASING",234500,03-01-17,35.05,"EFFECTIVE_RATE",36,10615,"VEHICLE",335000,0,"PERFORMING"
"APMBA012536","STK2312233","MOTOR BICYCLE ","LEASING",163000,06-01-17,28,"EFFECTIVE_RATE",30,7616,"VEHICLE",325100,-180,"PERFORMING"
"KBMBA013003","STK1170521","MOTOR BICYCLE ","LEASING",164500,10-01-17,40.5,"EFFECTIVE_RATE",36,7963,"VEHICLE",235500,-30,"PERFORMING"
"HGMBA011139","STK2368880","MOTOR BICYCLE ","LEASING",147500,10-01-17,42.47,"EFFECTIVE_RATE",36,7311,"VEHICLE",215500,160.2,"PERFORMING"
"RGMBA004298","STK2369899","MOTOR BICYCLE ","LEASING",125999.3,11-01-17,57.18,"EFFECTIVE_RATE",18,10582,"VEHICLE",179999,-150,"PERFORMING"
"MPMBA009309","STK2368412","MOTOR BICYCLE ","LEASING",132800,13-01-17,33.79,"EFFECTIVE_RATE",36,5917,"VEHICLE",198300,-60,"PERFORMING"
"THMBA006261","STK2373213","MOTOR BICYCLE ","LEASING",102000,17-01-17,33.06,"EFFECTIVE_RATE",24,5865,"VEHICLE",170000,0,"PERFORMING"
"TRMBA010529","STK2374358","MOTOR BICYCLE ","LEASING",154600,17-01-17,36.36,"EFFECTIVE_RATE",36,7114,"VEHICLE",325100,-120,"PERFORMING"
"CGMBA017850","STK2375623","MOTOR BICYCLE ","LEASING",173000,18-01-17,37.11,"EFFECTIVE_RATE",36,8034,"VEHICLE",247850,-180,"PERFORMING"
"CGMBA018035","STK2375679","MOTOR BICYCLE ","LEASING",200000,19-01-17,39.34,"EFFECTIVE_RATE",30,10575,"VEHICLE",330000,-225.9,"PERFORMING"
"NYMBA008494","STK2375812","MOTOR BICYCLE ","LEASING",204550,19-01-17,39.25,"EFFECTIVE_RATE",24,12434,"VEHICLE",320000,-65.7,"PERFORMING"
"WLMBA005820","STK2362486","MOTOR BICYCLE ","LEASING",174950,02-01-17,36.09,"EFFECTIVE_RATE",36,8023,"VEHICLE",249950,0,"PERFORMING"
"MHMBA009576","STK2363190","MOTOR BICYCLE ","LEASING",199900,13-01-17,36.22,"EFFECTIVE_RATE",36,9182,"VEHICLE",289900,122.7,"PERFORMING"
"CGMBA016833","STK2365179","MOTOR BICYCLE ","LEASING",164850,03-01-17,35.06,"EFFECTIVE_RATE",36,7463,"VEHICLE",235500,-30,"PERFORMING"
"CGMBA016860","STK2365233","MOTOR BICYCLE ","LEASING",126000,03-01-17,39.6,"EFFECTIVE_RATE",36,6033,"VEHICLE",215500,-30,"PERFORMING"
"CGMBA017072","STK2367153","MOTOR BICYCLE ","LEASING",164000,09-01-17,57.52,"EFFECTIVE_RATE",12,18289,"VEHICLE",235500,0,"PERFORMING"
"MGMBA018442","STK2369049","MOTOR BICYCLE ","LEASING",148750,10-01-17,37.43,"EFFECTIVE_RATE",36,6936,"VEHICLE",212500,30,"PERFORMING"
"WPMBA006933","STK2372027","MOTOR BICYCLE ","LEASING",149300,13-01-17,49,"EFFECTIVE_RATE",18,11874,"VEHICLE",213800,-30,"PERFORMING"
"BTMBA015250","STK2373028","MOTOR BICYCLE ","LEASING",237500,16-01-17,37.08,"EFFECTIVE_RATE",36,11025,"VEHICLE",340000,0,"PERFORMING"
"BTMBA015427","STK2377513","MOTOR BICYCLE ","LEASING",115000,20-01-17,58.5,"EFFECTIVE_RATE",12,12884,"VEHICLE",235500,30,"PERFORMING"
"RTMBA013456","STK2376910","MOTOR BICYCLE ","LEASING",167230,25-01-17,40.73,"EFFECTIVE_RATE",36,8117,"VEHICLE",238900,-630,"PERFORMING"
"MDMBA006049","STK2379383","MOTOR BICYCLE ","LEASING",163027,23-01-17,29.14,"EFFECTIVE_RATE",36,6845,"VEHICLE",235500,-144.6,"PERFORMING"
"MHMBA009132","STK2365066","MOTOR BICYCLE ","LEASING",87500,01-01-17,34.99,"EFFECTIVE_RATE",36,3958,"VEHICLE",125000,329.4,"NPL"
"APMBA012396RST1","STK2365344","MOTOR BICYCLE ","LEASING",171162.7,11-01-17,32.99,"EFFECTIVE_RATE",12,16938.91,"VEHICLE",235500,-30,"PERFORMING"
"APMBA012396","STK2365344","MOTOR BICYCLE ","LEASING",161950,03-01-17,32.99,"EFFECTIVE_RATE",24,9307,"VEHICLE",235500,0,"PERFORMING"
"BMMBA011689","STK2365485","MOTOR BICYCLE ","LEASING",148700,03-01-17,34.65,"EFFECTIVE_RATE",36,6698,"VEHICLE",235500,0,"PERFORMING"
"NTMBA007473","STK2365729","MOTOR BICYCLE ","LEASING",227430,03-01-17,38.74,"EFFECTIVE_RATE",36,10776,"VEHICLE",324900,288.6,"NPL"
"TBMBA011360","STK2367682","MOTOR BICYCLE ","LEASING",138000,09-01-17,39.59,"EFFECTIVE_RATE",36,6607,"VEHICLE",198300,-505.5,"PERFORMING"
"BTMBA014686","STK2368346","MOTOR BICYCLE ","LEASING",242500,09-01-17,39.24,"EFFECTIVE_RATE",30,12808,"VEHICLE",382500,120,"PERFORMING"
"BTMBA014932","STK2369799","MOTOR BICYCLE ","LEASING",87000,10-01-17,81.61,"EFFECTIVE_RATE",12,10838,"VEHICLE",235500,-30,"PERFORMING"
"KUMBA021419","STK2370439","MOTOR BICYCLE ","LEASING",100100,16-01-17,36.07,"EFFECTIVE_RATE",36,4589,"VEHICLE",143000,297.6,"NPL"
"ARMBA013225","STK2370512","MOTOR BICYCLE ","LEASING",143499,13-01-17,40.66,"EFFECTIVE_RATE",36,6960,"VEHICLE",204999,-120,"PERFORMING"
"GNMBA015180","STK2370830","MOTOR BICYCLE ","LEASING",87500,13-01-17,46.77,"EFFECTIVE_RATE",24,5679,"VEHICLE",125000,-350.1,"PERFORMING"
"DKMBA009200","STK478812","MOTOR BICYCLE ","LEASING",77000,13-01-17,32.11,"EFFECTIVE_RATE",24,4390,"VEHICLE",110000,0,"PERFORMING"
"WLMBA006049","STK2371933","MOTOR BICYCLE ","LEASING",229900,18-01-17,36.41,"EFFECTIVE_RATE",36,10585,"VEHICLE",393400,0,"PERFORMING"
"WLMBA005929","STK2372187","MOTOR BICYCLE ","LEASING",149600,16-01-17,38.48,"EFFECTIVE_RATE",36,7066,"VEHICLE",213800,-90,"PERFORMING"
"KPMBA013410","STK2373078","MOTOR BICYCLE ","LEASING",140000,16-01-17,43.59,"EFFECTIVE_RATE",24,8840,"VEHICLE",325000,-270,"PERFORMING"
"BMMBA012226","STK2373381","MOTOR BICYCLE ","LEASING",159250,17-01-17,56.74,"EFFECTIVE_RATE",12,17694,"VEHICLE",227500,-30,"PERFORMING"
"MHMBA009972","STK2374242","MOTOR BICYCLE ","LEASING",122500,26-01-17,42.53,"EFFECTIVE_RATE",36,6076,"VEHICLE",175000,130.8,"PERFORMING"
"BMMBA011582","STK2365314","MOTOR BICYCLE ","LEASING",148700,03-01-17,42.28,"EFFECTIVE_RATE",18,11296,"VEHICLE",235500,-150,"PERFORMING"
"MWMBA014215","STK2358938","MOTOR BICYCLE ","LEASING",185500,05-01-17,36.69,"EFFECTIVE_RATE",36,8570,"VEHICLE",265000,189,"NPL"
"CGMBA017054","STK2366559","MOTOR BICYCLE ","LEASING",148500,09-01-17,37.58,"EFFECTIVE_RATE",36,6937,"VEHICLE",212500,198,"NPL"
"MPMBA009323","STK2367522","MOTOR BICYCLE ","LEASING",164700,13-01-17,34.9,"EFFECTIVE_RATE",36,7442,"VEHICLE",235500,149.7,"PERFORMING"
"KUMBA021385","STK2366456","MOTOR BICYCLE ","LEASING",162065,16-01-17,28,"EFFECTIVE_RATE",36,6704,"VEHICLE",235500,192.9,"NPL"
"TBMBA011582","STK2371789","MOTOR BICYCLE ","LEASING",219800,13-01-17,40.69,"EFFECTIVE_RATE",24,13532,"VEHICLE",314000,30,"PERFORMING"
