"CONTRACT_NO","BORROWER_ID","LOAN_NAME","LOAN_TYPE","PRINCIPAL_AMOUNT","DATE_OF_ISSUE","INTEREST_RATE","INTEREST_TYPE","LOAN_PERIOD","EMI_AMOUNT","MORTAGE_TYPE","MORTAGE_AMOUNT","NO_OF_DAYS_IN_ARREARS","LOAN_STATUS"
"BMMBA012527","STK2379190","MOTOR BICYCLE ","LEASING",106850,23-01-17,43.25,"EFFECTIVE_RATE",24,6727,"VEHICLE",247850,-90,"PERFORMING"
"HRMBA007626","STK186106","MOTOR BICYCLE ","LEASING",227570,23-01-17,39.19,"EFFECTIVE_RATE",24,13826,"VEHICLE",325100,0,"PERFORMING"
"MRMBA010291","STK2379762","MOTOR BICYCLE ","LEASING",164850,23-01-17,35.94,"EFFECTIVE_RATE",36,7546,"VEHICLE",235500,-60,"PERFORMING"
"CWMBA010307","STK2378478","MOTOR BICYCLE ","LEASING",236300,25-01-17,28,"EFFECTIVE_RATE",24,12971,"VEHICLE",399900,-413.1,"PERFORMING"
"EMMBA015506","STK2367496","MOTOR BICYCLE ","LEASING",121030,05-01-17,43.59,"EFFECTIVE_RATE",36,6079,"VEHICLE",172900,223.2,"NPL"
"ARMBA012907","STK2370182","MOTOR BICYCLE ","LEASING",164850,10-01-17,40.19,"EFFECTIVE_RATE",36,7950,"VEHICLE",235500,-210,"PERFORMING"
"AWMBA006896","STK2372035","MOTOR BICYCLE ","LEASING",120500,18-01-17,27,"EFFECTIVE_RATE",48,4132,"VEHICLE",189900,-107.4,"PERFORMING"
"MHMBA009781","STK2376052","MOTOR BICYCLE ","LEASING",167230,19-01-17,44.9,"EFFECTIVE_RATE",24,10680,"VEHICLE",238900,-30,"PERFORMING"
"NKMBA011892","STK2376176","MOTOR BICYCLE ","LEASING",128800,19-01-17,41,"EFFECTIVE_RATE",36,6272,"VEHICLE",199300,-424.5,"PERFORMING"
"PLMBA014941","STK2376869","MOTOR BICYCLE ","LEASING",164850,19-01-17,36.46,"EFFECTIVE_RATE",36,7595,"VEHICLE",235500,0,"PERFORMING"
"PLMBA015029","STK1946342","MOTOR BICYCLE ","LEASING",164850,20-01-17,41.05,"EFFECTIVE_RATE",24,10181,"VEHICLE",235500,-30,"PERFORMING"
