date,team_1,team_2,inverted_teams,match_id,event_id,best_of,system,t1_removed_1,t1_removed_2,t1_removed_3,t2_removed_1,t2_removed_2,t2_removed_3,t1_picked_1,t2_picked_1,left_over,t1_map1_wr,t1_map2_wr,t1_map3_wr,t2_map1_wr,t2_map2_wr,t2_map3_wr
2020-03-08,AVANT,Chiefs,0,2340148,5198,3,123412,Vertigo,Train,0.0,Overpass,Inferno,0.0,Dust2,Nuke,Mirage,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,KOVA,OG,0,2340163,5135,3,123412,Overpass,Train,0.0,Vertigo,Mirage,0.0,Dust2,Inferno,Nuke,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,Envy,FURIA,1,2340172,5178,3,123412,Vertigo,Overpass,0.0,Dust2,Train,0.0,Mirage,Nuke,Inferno,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,SMASH,Movistar Riders,0,2340162,5135,3,123412,Vertigo,Overpass,0.0,Dust2,Mirage,0.0,Train,Nuke,Inferno,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,Mythic,Cloud9,1,2340177,5178,3,123412,Train,Overpass,0.0,Mirage,Dust2,0.0,Vertigo,Inferno,Nuke,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,EHOME,TYLOO,1,2340165,5196,3,123412,Overpass,Vertigo,0.0,Nuke,Train,0.0,Mirage,Dust2,Inferno,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,LiViD,Chaos,0,2340179,5178,3,123412,Dust2,Vertigo,0.0,Train,Mirage,0.0,Overpass,Nuke,Inferno,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,Triumph,Mythic,1,2340185,5178,3,123412,Train,Vertigo,0.0,Nuke,Dust2,0.0,Inferno,Mirage,Overpass,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,Orgless,ex-eUnited,0,2340189,5178,3,123412,Vertigo,Train,0.0,Mirage,Dust2,0.0,Nuke,Overpass,Inferno,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,OG,GODSENT,1,2340183,5135,3,123412,Vertigo,Inferno,0.0,Mirage,Overpass,0.0,Train,Dust2,Nuke,0.0,0.0,0.0,0.0,0.0,0.0
