,team_1,team_2,_map,result_1,result_2,map_winner,event_id,match_id,rank_1,rank_2,map_wins_1,map_wins_2,match_winner
27683,Vega Squadron,TYLOO,Inferno,25,22,1,3292,2317502,28,38,2,0,1
27684,AGO,Vega Squadron,Inferno,6,16,2,3292,2317503,21,28,1,2,2
27685,Tainted Minds,Athletico,Inferno,16,14,1,3049,2317520,52,114,1,2,2
27686,Vega Squadron,TYLOO,Mirage,25,21,1,3292,2317502,28,38,2,0,1
27687,Renegades,Cloud9,Cobblestone,12,16,2,3060,2317516,12,6,12,16,2
27688,NRG,Renegades,Overpass,16,7,1,3060,2317328,27,12,16,7,1
27689,Renegades,NRG,Mirage,10,16,2,3060,2317327,12,27,10,16,2
27690,Cloud9,Renegades,Train,12,16,2,3060,2317517,6,12,12,16,2
27691,EnVyUs Academy,VenatoreS,Cache,16,7,1,3290,2317512,70,116,2,0,1
27692,Tainted Minds,Athletico,Cobblestone,11,16,2,3049,2317520,52,114,1,2,2
27693,MANS NOT HOT,SEAL,Inferno,11,16,2,3367,2317497,69,210,1,2,2
27694,EnVyUs Academy,VenatoreS,Inferno,16,5,1,3290,2317512,70,116,2,0,1
27695,GODSENT,Astralis,Mirage,7,16,2,3059,2317214,45,3,7,16,2
27696,Astralis,GODSENT,Train,16,13,1,3059,2317213,3,45,16,13,1
27697,NiP,Astralis,Nuke,16,14,1,3059,2317212,4,3,16,14,1
27698,MANS NOT HOT,SEAL,Train,16,6,1,3367,2317497,69,210,1,2,2
27699,MANS NOT HOT,SEAL,Cache,8,16,2,3367,2317497,69,210,1,2,2
27700,Adaptation,Main Street,Nuke,22,19,1,3363,2317514,309,203,2,0,1
27701,Adaptation,Main Street,Mirage,19,17,1,3363,2317514,309,203,2,0,1
27702,Singularity,Kinguin,Cobblestone,16,13,1,3333,2317513,56,31,16,13,1
27703,Astralis,NiP,Train,14,16,2,3059,2317211,3,4,14,16,2
27704,Tricked,Valiance,Nuke,7,16,2,3228,2317440,44,46,7,16,2
27705,BX3,Gatekeepers,Mirage,16,11,1,3333,2317495,152,287,16,11,1
27706,TYLOO,AGO,Overpass,5,16,2,3292,2317444,38,21,0,2,2
27707,Chiefs,Legacy,Mirage,16,13,1,3049,2317501,59,140,2,1,1
27708,Chiefs,Legacy,Train,13,16,2,3049,2317501,59,140,2,1,1
27709,Chiefs,Legacy,Cobblestone,16,14,1,3049,2317501,59,140,2,1,1
27710,Tainted Minds,Corvidae,Cache,16,3,1,3049,2317500,52,182,2,0,1
27711,Tainted Minds,Corvidae,Mirage,19,16,1,3049,2317500,52,182,2,0,1
27712,TYLOO,AGO,Mirage,5,16,2,3292,2317444,38,21,0,2,2
27713,Kings,Dark Sided,Nuke,19,15,1,3049,2317498,58,157,2,0,1
27714,LFAO,Gale Force,Cobblestone,9,16,2,3322,2317129,80,61,0,2,2
27715,LFAO,Gale Force,Overpass,5,16,2,3322,2317129,80,61,0,2,2
27716,Samurai,FRENCH CANADIANS,Cache,6,16,2,3322,2317450,150,63,0,2,2
27717,Samurai,FRENCH CANADIANS,Inferno,5,16,2,3322,2317450,150,63,0,2,2
27718,SoaR,Rise Nation,Mirage,11,16,2,3322,2317315,60,42,0,2,2
27719,SoaR,Rise Nation,Inferno,13,16,2,3322,2317315,60,42,0,2,2
27720,Kings,Dark Sided,Mirage,16,10,1,3049,2317498,58,157,2,0,1
27721,Adaptation,Vulture,Overpass,6,16,2,3363,2317392,309,312,2,1,1
27722,Grayhound,Athletico,Cache,6,16,2,3049,2317499,49,114,0,2,2
27723,Adaptation,Vulture,Nuke,16,13,1,3363,2317392,309,312,2,1,1
27724,Grayhound,Athletico,Cobblestone,13,16,2,3049,2317499,49,114,0,2,2
27725,fnatic,Virtus.pro,Mirage,16,4,1,3059,2317209,13,8,16,4,1
27726,Epsilon,eXtatus,Mirage,5,16,2,3333,2317441,73,36,5,16,2
27727,Virtus.pro,fnatic,Cache,14,16,2,3059,2317210,8,13,14,16,2
27728,Adaptation,Vulture,Cache,16,12,1,3363,2317392,309,312,2,1,1
27729,Virtus.pro,NiP,Cobblestone,17,19,2,3059,2317208,8,4,17,19,2
27730,Singularity,EnVyUs Academy,Inferno,13,16,2,3320,2317395,56,70,0,2,2
27731,Singularity,EnVyUs Academy,Cache,11,16,2,3320,2317395,56,70,0,2,2
27732,NiP,Virtus.pro,Cache,16,9,1,3059,2317207,4,8,16,9,1
27733,Main Street,BBSP,Cobblestone,16,14,1,3363,2317393,203,119,2,0,1
27734,Main Street,BBSP,Nuke,16,10,1,3363,2317393,203,119,2,0,1
27735,EnVyUs Academy,Tricked,Cobblestone,16,8,1,3333,2317445,70,44,16,8,1
27736,Nexus,x6tence,Cache,14,16,2,3323,2317424,48,137,2,1,1
27737,Vega Squadron,Flash,Mirage,16,3,1,3292,2317443,28,32,2,0,1
27738,Vega Squadron,Flash,Cache,16,3,1,3292,2317443,28,32,2,0,1
27739,Spirit Academy,EPG,Inferno,7,16,2,3320,2317382,107,95,1,2,2
27740,Spirit Academy,EPG,Cache,6,16,2,3320,2317382,107,95,1,2,2
27741,Spirit Academy,EPG,Train,16,9,1,3320,2317382,107,95,1,2,2
27742,GameAgents,Windigo,Cache,16,10,1,3290,2317359,132,53,2,1,1
27743,GameAgents,Windigo,Train,16,7,1,3290,2317359,132,53,2,1,1
27744,GameAgents,Windigo,Inferno,3,16,2,3290,2317359,132,53,2,1,1
27745,Nexus,x6tence,Overpass,16,9,1,3323,2317424,48,137,2,1,1
27746,Nexus,x6tence,Inferno,16,8,1,3323,2317424,48,137,2,1,1
27747,PRIDE,HAVU,Cache,11,16,2,3364,2317396,36,34,1,2,2
27748,PRIDE,HAVU,Overpass,16,12,1,3364,2317396,36,34,1,2,2
27749,Windigo,Nexus,Cobblestone,14,16,2,3333,2317390,54,48,14,16,2
27750,GoodJob,Spirit Academy,Mirage,12,16,2,3367,2317434,160,101,12,16,2
27751,Orion,Conquer,Overpass,16,10,1,3323,2317423,207,172,2,1,1
27752,Orion,Conquer,Cache,16,6,1,3323,2317423,207,172,2,1,1
27753,Orion,Conquer,Inferno,9,16,2,3323,2317423,207,172,2,1,1
27754,North Academy,PRIDE,Nuke,10,16,2,3228,2317430,32,37,0,2,2
27755,North Academy,PRIDE,Train,10,16,2,3228,2317430,32,37,0,2,2
27756,PRIDE,HAVU,Train,10,16,2,3364,2317396,36,34,1,2,2
27757,HAVU,hASSeLsNOk,Mirage,16,7,1,3276,2317313,34,171,16,7,1
27758,Flash,AGO,Train,2,16,2,3292,2317414,32,24,0,2,2
27759,LPSP,Red Reserve,Inferno,16,10,1,3369,2317428,181,52,2,1,1
27760,LPSP,Red Reserve,Cache,16,10,1,3369,2317428,181,52,2,1,1
27761,Tricked,pro100,Inferno,8,16,2,3333,2317391,45,64,8,16,2
27762,Flash,AGO,Mirage,7,16,2,3292,2317414,32,24,0,2,2
27763,Chiefs,ViCi,Train,14,16,2,3355,2317415,76,49,1,2,2
27764,TYLOO,Vega Squadron,Cache,19,15,1,3292,2317413,43,28,2,0,1
27765,TYLOO,Vega Squadron,Train,16,5,1,3292,2317413,43,28,2,0,1
27766,Chiefs,ViCi,Overpass,16,4,1,3355,2317415,76,49,1,2,2
27767,Chiefs,ViCi,Cobblestone,14,16,2,3355,2317415,76,49,1,2,2
27768,FaZe,Cloud9,Train,16,8,1,2956,2317296,2,7,2,0,1
27769,FaZe,Cloud9,Overpass,16,6,1,2956,2317296,2,7,2,0,1
27770,LPSP,Red Reserve,Mirage,11,16,2,3369,2317428,181,52,2,1,1
27771,Vault,Elite Wolves,Overpass,16,3,1,3368,2317442,185,355,2,0,1
27772,aAa,LPSP,Mirage,5,16,2,3369,2317438,47,181,0,2,2
27773,Vault,Hafnet,Cache,17,19,2,3368,2317447,185,227,2,1,1
27774,NiP,FaZe,Cobblestone,16,10,1,2956,2317297,9,2,3,2,1
27775,NiP,FaZe,Inferno,7,16,2,2956,2317297,9,2,3,2,1
27776,NiP,FaZe,Train,16,10,1,2956,2317297,9,2,3,2,1
27777,aAa,LPSP,Nuke,13,16,2,3369,2317438,47,181,0,2,2
27778,NiP,FaZe,Cache,16,10,1,2956,2317297,9,2,3,2,1
27779,NiP,FaZe,Overpass,6,16,2,2956,2317297,9,2,3,2,1
27780,Vault,Hafnet,Cobblestone,16,5,1,3368,2317447,185,227,2,1,1
27781,Vault,Hafnet,Train,16,4,1,3368,2317447,185,227,2,1,1
27782,Singularity,SJ,Mirage,6,16,2,3290,2317358,54,61,1,2,2
27783,Singularity,SJ,Cache,19,16,1,3290,2317358,54,61,1,2,2
27784,Singularity,SJ,Train,18,22,2,3290,2317358,54,61,1,2,2
27785,Vault,Elite Wolves,Inferno,16,11,1,3368,2317442,185,355,2,0,1
27786,Tainted Minds,Kings,Train,16,13,1,3166,2317373,62,60,2,0,1
27787,Tainted Minds,Kings,Mirage,16,11,1,3166,2317373,62,60,2,0,1
27788,Grayhound,Tainted Minds,Overpass,10,16,2,3166,2317374,67,62,1,2,2
27789,Grayhound,Tainted Minds,Inferno,12,16,2,3166,2317374,67,62,1,2,2
27790,Grayhound,Tainted Minds,Cache,16,9,1,3166,2317374,67,62,1,2,2
27791,Tainted Minds,Grayhound,Overpass,8,16,2,3166,2317418,62,67,1,2,2
27792,Tainted Minds,Grayhound,Inferno,11,16,2,3166,2317418,62,67,1,2,2
27793,Tainted Minds,Grayhound,Nuke,16,11,1,3166,2317418,62,67,1,2,2
27794,Infused,Reason,Train,6,16,2,3201,2317384,148,87,6,16,2
27795,Hafnet,Elite Wolves,Inferno,16,6,1,3368,2317420,227,355,16,6,1
27796,exceL,Method,Mirage,14,16,2,3201,2317386,162,140,14,16,2
27797,Epsilon,EnVyUs Academy,Train,2,16,2,3201,2317387,72,82,2,16,2
27798,SK,NiP,Inferno,11,16,2,2956,2317295,1,9,1,2,2
27799,SK,NiP,Cache,16,8,1,2956,2317295,1,9,1,2,2
27800,SK,NiP,Overpass,9,16,2,2956,2317295,1,9,1,2,2
27801,Endpoint,Prophecy,Overpass,13,16,2,3201,2317385,73,174,13,16,2
27802,Chiefs,Ardeont Academy,Overpass,7,16,2,3355,2317375,76,262,2,1,1
27803,FRENCH CANADIANS,ex-Naventic,Cache,16,8,1,3322,2317317,63,102,2,1,1
27804,FRENCH CANADIANS,ex-Naventic,Train,19,16,1,3322,2317317,63,102,2,1,1
27805,Hyper,Gorilla Core,Inferno,16,14,1,3322,2317318,219,134,2,1,1
27806,Hyper,Gorilla Core,Mirage,9,16,2,3322,2317318,219,134,2,1,1
27807,Hyper,Gorilla Core,Nuke,16,6,1,3322,2317318,219,134,2,1,1
27808,Chiefs,Ardeont Academy,Inferno,16,11,1,3355,2317375,76,262,2,1,1
27809,GX,Ghost Academy,Cache,16,2,1,3048,2317366,75,98,2,1,1
27810,Chiefs,Ardeont Academy,Nuke,16,6,1,3355,2317375,76,262,2,1,1
27811,GX,Ghost Academy,Mirage,14,16,2,3048,2317366,75,98,2,1,1
27812,GX,Ghost Academy,Train,16,11,1,3048,2317366,75,98,2,1,1
27813,Kings,Tainted Minds,Mirage,16,13,1,3166,2317369,60,62,1,2,2
27814,Kings,Tainted Minds,Inferno,8,16,2,3166,2317369,60,62,1,2,2
27815,MVP PK,Grayhound,Cache,5,16,2,3166,2317370,50,67,0,2,2
27816,FRENCH CANADIANS,ex-Naventic,Cobblestone,17,19,2,3322,2317317,63,102,2,1,1
27817,Kings,Tainted Minds,Overpass,15,19,2,3166,2317369,60,62,1,2,2
27818,MVP PK,Grayhound,Cobblestone,6,16,2,3166,2317370,50,67,0,2,2
27819,Nexus,Next Generation,Inferno,16,5,1,3323,2317363,48,175,2,0,1
27820,ViCi,Kinguin,Mirage,16,9,1,3355,2317376,49,30,2,0,1
27821,EnVyUs Academy,EPG,Nuke,16,5,1,3354,2317409,82,95,16,5,1
27822,EPG,Spirit,Nuke,16,11,1,3354,2317408,95,38,16,11,1
27823,Singularity,EPG,Cache,10,16,2,3354,2317406,54,95,10,16,2
27824,Spirit,EPG,Mirage,16,9,1,3354,2317233,38,95,16,9,1
27825,Nexus,Next Generation,Cobblestone,16,13,1,3323,2317363,48,175,2,0,1
27826,EnVyUs Academy,Spirit,Inferno,16,3,1,3354,2317407,82,38,16,3,1
27827,Singularity,EnVyUs Academy,Cobblestone,16,19,2,3354,2317232,54,82,16,19,2
27828,Kings,MVP PK,Inferno,16,3,1,3166,2317372,60,50,2,0,1
27829,Tainted Minds,Grayhound,Cache,13,16,2,3166,2317371,62,67,1,2,2
27830,Tainted Minds,Grayhound,Inferno,16,13,1,3166,2317371,62,67,1,2,2
27831,Tainted Minds,Grayhound,Overpass,14,16,2,3166,2317371,62,67,1,2,2
27832,ViCi,Kinguin,Train,16,7,1,3355,2317376,49,30,2,0,1
27833,Kings,MVP PK,Mirage,16,12,1,3166,2317372,60,50,2,0,1
27834,Ground Zero,Masterminds,Mirage,16,10,1,3345,2317347,265,225,1,2,2
27835,Dark Sided,Noxide,Inferno,16,10,1,3049,2317368,152,223,16,10,1
27836,seadoggs,Corvidae,Cobblestone,8,16,2,3049,2317367,209,187,8,16,2
27837,Ground Zero,Masterminds,Cache,9,16,2,3345,2317347,265,225,1,2,2
27838,VenatoreS,Windigo,Train,11,16,2,3354,2317230,110,53,11,16,2
27839,Seed,LDLC,Mirage,16,7,1,3208,2317329,31,25,2,0,1
27840,Seed,LDLC,Inferno,16,14,1,3208,2317329,31,25,2,0,1
27841,EnVyUs Academy,GoodJob,Cobblestone,16,10,1,3333,2317360,82,121,16,10,1
27842,GX,Rise Nation,Nuke,6,16,2,3048,2317349,75,41,0,2,2
27843,GX,Rise Nation,Mirage,8,16,2,3048,2317349,75,41,0,2,2
27844,OpTic,Liquid,Mirage,16,10,1,2956,2317287,19,8,16,10,1
27845,G2,OpTic,Overpass,14,16,2,2956,2317291,4,19,14,16,2
27846,Renegades,Gambit,Inferno,9,16,2,2956,2317292,14,10,9,16,2
27847,SoaR,Ghost Academy,Cache,19,16,1,3048,2317348,59,98,2,0,1
27848,SoaR,Ghost Academy,Nuke,16,4,1,3048,2317348,59,98,2,0,1
27849,Liquid,FaZe,Inferno,5,16,2,2956,2317290,8,2,5,16,2
27850,G2,Liquid,Cache,16,9,1,2956,2317288,4,8,16,9,1
27851,OpTic,Renegades,Mirage,6,16,2,2956,2317289,19,14,6,16,2
27852,VenatoreS,Nexus,Mirage,14,16,2,3354,2317388,110,48,14,16,2
27853,FaZe,Gambit,Mirage,3,16,2,2956,2317286,2,10,3,16,2
