,team_won,team_lost,winning_score,losing_score,winning_rank,losing_rank
80,Iberian Family,Apeks,2,1,,
81,Tricked,Sangal,16,14,,
82,EC Kyiv,Sestri,2,0,,
83,Entropiq,Dignitas,2,0,16.0,
84,DBL PONEY,EC Brugge,16,9,27.0,
85,ex-Marlian,TheDice,2,0,,
86,HYENAS,Budapest Five,2,0,,
87,Counter Nature,Third Impact,2,0,,
88,X13,ChocoCheck,2,0,,
89,Mythic,GGPR,2,1,,
90,Triumph,Triton,2,0,,
91,HAVU,Lyngby Vikings,2,1,,
92,SAW,eXploit,2,0,,
93,Entropiq Prague,Brute,2,0,,
94,Natus Vincere,BIG,2,0,2.0,9.0
95,AGF,Tricked,2,1,,
96,Gambit,Complexity,2,0,1.0,13.0
97,Enterprise,eSuba,2,1,,
98,Galaxy Racer,1WIN,2,1,,
99,Lyngby Vikings,Anonymo,2,1,,
100,K23,Dignitas,2,1,,
101,Trident,Budapest Five,2,0,,
102,G2,FaZe,2,1,3.0,29.0
103,Iberian Family,Ambush,2,1,,
104,Trident,SKADE,2,1,,28.0
105,ENCE,HYENAS,2,0,22.0,
106,Copenhagen Flames,Budapest Five,2,0,,
107,HYENAS,HONORIS,2,1,,
108,Apeks,FTW,2,0,,
109,Big Chillin,QcClan,2,1,,
110,CENSRD,Third Impact,2,1,,
111,Mythic,CRONEM,2,0,,
112,Triumph,Secret Club,2,0,,
113,paiN,Party Astronauts,2,0,,
114,ChocoCheck,Recon 5,2,0,,
115,NIP,Evil Geniuses,2,0,6.0,20.0
116,GamerLegion,Sprout,2,1,,
117,AGO,Anonymo,2,1,,
118,Wisla Krakow,SAW,2,1,,
119,forZe,ALTERNATE aTTaX,2,1,17.0,
120,OFFSET,N2E,2,0,,
121,Endpoint,Sangal,2,0,26.0,
122,Budapest Five,Ambush,2,0,,
123,Natus Vincere,FaZe,2,1,2.0,29.0
124,Fiend,Copenhagen Flames,2,0,23.0,
125,Lyngby Vikings,Sinners,2,0,,
126,Copenhagen Flames,Budapest Five,2,1,,
127,Galaxy Racer,Apeks,2,0,,
128,ALTERNATE aTTaX,1WIN,2,0,,
129,BIG,G2,2,1,9.0,3.0
130,Izako Boars,Sinners,1,0,,
131,Entropiq,HAVU,2,1,16.0,
132,BBBMBCBS,Hazard,2,1,,
133,Dire Wolves,Renegades,2,1,,
134,Lyngby Vikings,HYENAS,2,1,,
135,Copenhagen Flames,Trident,16,11,,
136,Anonymo,HONORIS,2,0,,
137,Chiefs,Skyfire,2,0,,
138,Budapest Five,SKADE,19,17,,28.0
139,Bandits,munyanyo,2,0,,
140,Paradox,Dynasty,1,0,,
141,FTW,ONYX,2,0,,
142,Iberian Family,Tricked,2,0,,
143,CENSRD,CRONEM,2,0,,
144,Recon 5,Triumph,2,0,,
145,RBG,TeamOne,2,0,,
146,ChocoCheck,Big Chillin,2,0,,
147,paiN,Third Impact,2,0,,
148,Extra Salt,GGPR,2,0,21.0,
149,ChocoCheck,Extra Salt,1,0,,21.0
150,BLINK,Wisla Krakow,2,1,,
151,Sangal,Izako Boars,2,1,,
152,LDLC,SAW,2,1,,
153,forZe,Nemiga,2,0,17.0,
154,Endpoint,Movistar Riders,2,0,26.0,
155,Complexity,NIP,2,0,13.0,6.0
156,AGO,Sprout,2,0,,
157,1WIN,Lyngby Vikings,2,1,,
158,Copenhagen Flames,Anonymo,2,0,,
159,Gambit,Evil Geniuses,2,0,1.0,20.0
160,Fiend,Galaxy Racer,2,0,23.0,
161,K23,Lyngby Vikings,2,0,,
162,ALTERNATE aTTaX,HYENAS,2,0,,
163,HONORIS,Iberian Family,2,1,,
164,Hazard,Alke,2,1,,
165,Paradox,Chiefs,2,0,,
166,Dignitas,Sinners,2,0,,
167,Budapest Five,FTW,2,0,,
168,R!OT,BBBMBCBS,2,0,,
169,VERTEX,Animal Squad,2,0,,
170,Rooster,Dynasty,2,0,,
171,Ambush,ONYX,2,1,,
172,ORDER,Bandits,1,0,,
173,Dire Wolves,Sylyx,1,0,,
174,Apeks,Tricked,2,0,,
175,GamerLegion,Anonymo,2,1,,
176,Sangal,Sprout,2,0,,
177,forZe,Apeks,2,0,17.0,
178,100PG, bankaPEPSI,2,0,,
179,BIG,ALTERNATE aTTaX,2,0,9.0,
180,Lyngby Vikings,Iberian Family,2,0,,
181,Galaxy Racer,Budapest Five,2,0,,
182,SKADE,SAW,3,0,28.0,
183,TBATBATBA,ANIMEplusW,2,1,,
184,HYENAS,Entropiq,2,0,,16.0
185,Copenhagen Flames,Ambush,2,0,,
186,Anonymo,ONYX,2,0,,
187,ORDER,Simplicity,1,0,,
188,ENCE,HAVU,2,1,22.0,
189,HYENAS,Apeks,2,0,,
190,Fiend,FTW,2,0,23.0,
191,ALTERNATE aTTaX,Tricked,2,0,,
192,1WIN,HONORIS,2,0,,
193,Counter Nature,HeadShotKings,2,1,,
194,GODSENT,TeamOne,2,0,,
195,River Plate,Boca Juniors,2,1,,
196,Paquetá,Furious,2,1,,
197,Triton,Brazen,2,0,,
198,River Plate,Malvinas,2,0,,
199,100PG,AVE,2,0,,
200,Endpoint,Young Ninjas,2,0,26.0,
201,Anonymo,Izako Boars,2,0,,
202,SAW,forZe,2,1,,17.0
203,TBATBATBA,Sky7eveN,2,1,,
204, bankaPEPSI,GROND,2,0,,
205,MAD Lions,HONORIS,2,1,,
206,Boca Juniors,LSC,2,0,,
207,los kogutos,VIXIT,2,0,,
208,Gambit,OG,3,0,1.0,11.0
209,ENCE,Sangal,2,0,22.0,
210,ANIMEplusW,Trident,2,0,,
211,Checkmate,CatEvil,2,1,,
212,MAD Lions,EC Brugge,2,0,,
213,HONORIS,TPT,2,0,,
214,CatEvil,TBC,16,6,,
215,Checkmate,Bco,16,12,,
216,TeamOne,paiN,2,1,,
217,Meta,Keyd,2,0,,
218,INTZ,eLevate,2,1,,
219,GODSENT,Bad News Bears,2,0,,
220,DETONA,SWS,2,1,,
221,TeamOne,RBG,2,1,,
222,KG Network,Black Dragons,2,0,,
223,Bad News Bears,Third Impact,2,0,,
224,GODSENT,Party Astronauts,2,0,,
225,paiN,X13,2,0,,
226,Gambit,G2,2,0,1.0,3.0
227,Entropiq,Copenhagen Flames,2,0,16.0,
228,OG,Vitality,2,1,11.0,10.0
229,Nordavind,SKADE,2,1,,28.0
230,Fiend,Izako Boars,2,0,23.0,
231,Izako Boars,Young Ninjas,2,1,,
232,X13,Counter Nature,2,0,,
233,KG Network,Bears,2,1,,
234,INTZ,Santos,2,0,,
235,Meta,Rehl,2,0,,
236,SWS,RUSH,2,0,,
237,GGPR,Verum,2,0,,
238,Paquetá,DETONA,16,11,,
239,Havan Liberty,Keyd,16,7,,
240,FURIA Academy,eLevate,16,4,,
241,Bravos,Black Dragons,16,2,,
242,Black Dragons,Bears,16,13,,
243,DETONA,SWS,16,7,,
244,Keyd,Meta,16,14,,
245,eLevate,INTZ,16,11,,
246,Bravos,KG Network,16,7,,
247,FURIA Academy,Santos,16,8,,
248,Havan Liberty,Rehl,16,6,,
249,Paquetá,RUSH,16,13,,
250,Apeks,ALTERNATE aTTaX,2,1,,
251,DBL PONEY,Tricked,2,0,27.0,
252,Gambit,Evil Geniuses,2,0,1.0,20.0
253,SKADE,SAW,2,1,28.0,
254,Budapest Five,Nemiga,2,1,,
255,Copenhagen Flames,MASONIC,2,0,,
256,777,HAVU,2,1,,
257,Vitality,Virtus.pro,2,0,10.0,5.0
258,FTW,eXploit,2,1,,
259,HONORIS,Wisla Krakow,2,1,,
260,Entropiq,Fiend,2,0,16.0,23.0
261,forZe,Sinners,2,0,17.0,
262,Renewal,Wings Up,2,0,,
263,Ambush,Chetz,2,1,,
264,Fiend,Young Ninjas,16,11,23.0,
265,Galaxy Racer,KOVA,2,0,,
266,Wings Up,Newhappy,16,13,,
267,Entropiq,Izako Boars,16,14,16.0,
268,Renewal,Invictus,16,6,,
269,ONYX,4glory,2,1,,
270,1WIN,VP.Prodigy,2,0,,
271,Apeks,Copenhagen Flames,2,1,,
272,Fiend,Lyngby Vikings,2,0,23.0,
273,Sinners,Entropiq,2,1,,16.0
274,Wisla Krakow,ALTERNATE aTTaX,2,0,,
275,MASONIC,Lilmix,2,0,,
276,SAW,AGF,2,0,,
277,Apeks,Lilmix,2,1,,
278,Copenhagen Flames,MASONIC,2,0,,
279,Sprout,Anonymo,2,0,,
280,Akuma,IN.GAME,2,0,19.0,
281,forZe,Young Ninjas,2,0,17.0,
282,Lyngby Vikings,Budapest Five,2,1,,
283,Akuma,ex-Marlian,2,0,19.0,
284,Dynasty,Bandits,2,0,,
285,Nemiga,100PG,2,0,,
286,R!OT,Hazard,2,0,,
287,Budapest Five,100PG,2,0,,
288,Lyngby Vikings,Nemiga,2,0,,
289,Mythic,CENSRD,2,1,,
290,GGPR,Secret Club,2,1,,
291,Party Astronauts,Third Impact,2,0,,
292,RBG,PDHM,2,0,,
293,LDLC,Nemiga,2,1,,
294,forZe,Wisla Krakow,2,1,17.0,
295,AGO,Sangal,2,1,,
296,SAW,Apeks,2,0,,
297,BLINK,ALTERNATE aTTaX,2,0,,
298,Sinners,GamerLegion,2,0,,
299,Endpoint,Izako Boars,2,0,26.0,
300,Movistar Riders,Sprout,2,0,,
301,eXploit,VELOX,2,0,,
302,Iberian Family,FTW,2,0,,
303,FTW,eXploit,2,1,,
304,Iberian Family,VELOX,2,0,,
305,HYENAS,IN.GAME,2,0,,
306,Anonymo,Wisla Krakow,2,1,,
307,IN.GAME,ex-Marlian,16,12,,
308,ORDER,Dynasty,2,0,,
309,HONORIS,PACT,2,0,,
310,Paradox,Bandits,2,0,,
311,Renegades,Overperformers,2,0,,
312,HYENAS,Akuma,16,9,,19.0
313,Simplicity,Skyfire,1,0,,
314,BBBMBCBS,Sylyx,1,0,,
315,Anonymo,HONORIS,2,0,,
316,Wisla Krakow,PACT,2,0,,
317,RBG,Mythic,2,1,,
318,Secret Club,Recon 5,2,0,,
319,paiN,CENSRD,2,0,,
320,TeamOne,Third Impact,2,0,,
321,GGPR,QcClan,2,0,,
322,BIG,LDLC,2,1,9.0,
323,ALTERNATE aTTaX,Ambush,2,1,,
324,BLINK,SAW,2,1,,
325,Movistar Riders,GamerLegion,2,1,,
326,Apeks,Nemiga,2,1,,
327,Chetz,EC Brugge,2,1,,
328,Sprout,Izako Boars,2,0,,
329,Sangal,Sinners,2,0,,
330,ALTERNATE aTTaX,Chetz,2,0,,
331,Ambush,EC Brugge,2,1,,
332,HYENAS,Galaxy Racer,2,1,,
333,KOVA,SJ,2,0,,
334,Animal Squad,Overperformers,2,0,,
335,Chiefs,Simplicity,2,0,,
336,ORDER,Skyfire,2,0,,
337,Rooster,Bandits,2,0,,
338,Dire Wolves,Hazard,2,0,,
339,Paradox,munyanyo,2,0,,
340,Galaxy Racer,SJ,2,1,,
341,Renegades,Sylyx,1,0,,
342,HYENAS,KOVA,2,1,,
343,Party Astronauts,RBG,2,0,,
344,EC Kyiv,Trident,2,0,,
345,forZe,LDLC,2,0,17.0,
346,BIG,Nemiga,2,0,9.0,
347,ONYX,Nexus,2,0,,
348,Fiend,4glory,2,0,23.0,
349,ex-Marlian,Free TON,2,0,,
350,4glory,Nexus,2,0,,
351,Fiend,ONYX,2,0,23.0,
352,VP.Prodigy,AGF,2,1,,
353,Tricked,1WIN,2,0,,
354,1WIN,VP.Prodigy,2,0,,
355,Tricked,AGF,2,0,,
356,GGPR,Big Chillin,2,0,,
357,Bad News Bears,GODSENT,2,1,,
358,RBG,TeamOne,2,0,,
359,Paquetá,INTZ,2,0,,
360,Bad News Bears,RBG,2,0,,
361,GODSENT,TeamOne,2,0,,
362,Entropiq,777,2,0,16.0,
363,Virtus.pro,NIP,2,1,5.0,6.0
364,EC Kyiv,Trasko,2,1,,
365,Red Instinct,mYinsanity,2,0,,
366,p0tatos,Finest,2,0,,
367,Trident,ASAP,2,0,,
368,Nordavind,Fiend,2,1,,23.0
369,mYinsanity,PriFu,2,1,,
370,G2,Vitality,2,0,3.0,10.0
371,Entropiq,Lyngby Vikings,2,0,16.0,
372,p0tatos,Infinite,2,1,,
373,Finest,19CM GANG,2,0,,
374,ex-Marlian,tokyoxd,2,0,,
375,Free TON, bankaPEPSI,2,0,,
376,OG,Evil Geniuses,2,1,11.0,20.0
377,FATE,FORFRIENDS,3,1,,
378,GODSENT,Verum,16,10,,
379,RBG,paiN,16,8,,
380,Gambit,Complexity,2,1,1.0,13.0
381,GAIJIN,Red Instinct,2,1,,
382,SKADE,Lyngby Vikings,2,1,28.0,
383,Virtus.pro,Spirit,2,1,5.0,15.0
384,Endpoint,DBL PONEY,2,0,26.0,27.0
385,Red Instinct,mYinsanity,2,0,,
386,GAIJIN,PriFu,2,0,,
387,Lyngby Vikings,Dignitas,2,0,,
388,Entropiq,HAVU,2,0,16.0,
389,NIP,Heroic,2,0,6.0,4.0
390,INTZ,Havan Liberty,2,1,,
391,paiN,PDHM,2,0,,
392,Paquetá,Bravos,2,1,,
393,Gambit,Astralis,2,0,1.0,7.0
394,OG,Virtus.pro,2,0,11.0,5.0
395,Copenhagen Flames,HAVU,2,0,,
396,Evil Geniuses,Heroic,2,1,20.0,4.0
397,Complexity,FunPlus Phoenix,2,1,13.0,18.0
398,Young Ninjas,Tricked,2,1,,
399,Lyngby Vikings,HYENAS,2,0,,
400,Dignitas,ENCE,2,1,,22.0
401,NIP,fnatic,2,1,6.0,30.0
402,Spirit,Imperial,2,0,15.0,
403,GamerLegion,Endpoint,2,0,,26.0
404,INTZ,Santos,2,1,,
405,Bravos,Rehl,2,1,,
406,ENCE,AGF,2,1,22.0,
407,G2,FunPlus Phoenix,2,1,3.0,18.0
408,forZe,BIG,2,1,17.0,9.0
409,Astralis,Extra Salt,2,0,7.0,21.0
410,Sangal,SAW,2,1,,
411,Entropiq,Endpoint,2,0,16.0,26.0
412,Complexity,Sprout,2,0,13.0,
413,Vitality,Gambit,2,0,10.0,1.0
414,Entropiq,Copenhagen Flames,2,0,16.0,
415,OG,NIP,16,9,11.0,6.0
416,Virtus.pro,fnatic,16,10,5.0,30.0
417,HAVU,K23,2,0,,
418,Evil Geniuses,Spirit,16,9,20.0,15.0
419,Heroic,Imperial,16,8,4.0,
420,G2,Extra Salt,16,1,3.0,21.0
421,FunPlus Phoenix,Astralis,16,7,18.0,7.0
422,Gambit,Sprout,16,6,1.0,
423,Vitality,Complexity,16,8,10.0,13.0
424,paiN,Mythic,2,0,,
425,TeamOne,PDHM,2,0,,
426,Havan Liberty,Bravos,16,5,,
427,Rehl,Jaguares,16,4,,
428,Secret Club,SKDC,1,0,,
429,Paquetá,Santos,16,3,,
430,INTZ,eLevate,16,12,,
431,OG,BIG,2,1,11.0,9.0
432,forZe,SAW,2,1,17.0,
433,Endpoint,Anonymo,2,1,26.0,
434,Movistar Riders,Sangal,2,1,,
435,LDLC,ALTERNATE aTTaX,2,0,,
436,AGO,Izako Boars,2,0,,
437,Nemiga,Wisla Krakow,2,0,,
438,BLINK,Apeks,2,0,,
439,K23,Fiend,2,0,,23.0
440,BIG,Entropiq,2,0,9.0,16.0
441,BBBMBCBS,Overperformers,2,1,,
442,Entropiq,Nemiga,2,0,16.0,
443,OG,Fiend,2,0,11.0,23.0
444,Animal Squad,Sylyx,2,0,,
445,ORDER,munyanyo,2,0,,
446,Recon 5,Big Chillin,2,1,,
447,Triumph,GGPR,2,0,,
448,paiN,RBG,2,0,,
449,Bravos,Rehl,16,8,,
450,Party Astronauts,Mythic,2,0,,
451,Havan Liberty,Jaguares,16,14,,
452,Santos,INTZ,16,11,,
453,Paquetá,eLevate,16,11,,
454,Sangal,Anonymo,2,1,,
455,GamerLegion,AGO,2,0,,
456,BIG,Wisla Krakow,2,0,9.0,
457,Fiend,fnatic,2,1,23.0,30.0
458,Natus Vincere,Entropiq,2,0,2.0,16.0
459,HYENAS,Nemiga,2,0,,
460,Entropiq,AVE,2,1,16.0,
461,BIG,Wisla Krakow,2,0,9.0,
462,Rooster,Skyfire,2,0,,
463,OG,1WIN,2,0,11.0,
464,Paradox,Simplicity,2,0,,
465,Renegades,Hazard,2,0,,
466,Dire Wolves,R!OT,2,0,,
467,Chiefs,Bandits,1,0,,
468,Entropiq,forZe,2,0,16.0,17.0
469,ENCE,K23,2,1,22.0,
470,Sinners,Sprout,2,0,,
471,Wisla Krakow,Dignitas,2,1,,
472,1WIN,Izako Boars,2,0,,
473,Fiend,SKADE,2,0,23.0,28.0
474,Fiend,Endpoint,2,0,23.0,26.0
475,Entropiq,AGO,2,0,16.0,
476,Liquid,FURIA,3,1,14.0,12.0
477,GODSENT,Bad News Bears,2,0,,
478,paiN,RBG,2,0,,
479,Bravos,Paquetá,2,1,,
480,mousesports,NIP,2,1,8.0,6.0
481,GODSENT,paiN,2,1,,
482,Bad News Bears,RBG,2,0,,
483,Gambit,Virtus.pro,3,1,1.0,5.0
484,19CM GANG,MAD Lions,2,1,,
485,Copenhagen Flames,Case,2,0,,
486,LDLC,Sprout,3,1,,
487,Trasko,Contact Light,2,0,,
488,BIG,Astralis,2,1,9.0,7.0
489,eXploit,Rhyno,2,1,,
490,Illuminar,PACT,2,0,,
491,777,Apeks,2,0,,
492,Nemiga,AVE,2,0,,
493,19CM GANG,ex-Marlian,2,0,,
494,Virtus.pro,Akuma,2,0,5.0,19.0
495,MAD Lions,calm,2,0,,
496,HYENAS,Entropiq,2,1,,16.0
497,Rhyno,sh1zlEEpeek,2,0,,
498,Lyngby Vikings,NAVI Junior,2,0,,
499,Renegades,ORDER,2,0,,
500,Fiend,Spirit Academy,2,0,23.0,
501,ex-Marlian,LDLC,2,0,,
502,Renegades,Rooster,2,0,,
503,Extra Salt,paiN,2,0,21.0,
504,Paquetá,Jaguares,2,0,,
505,GODSENT,Secret Club,16,14,,
506,Vinkelparty,Young Ninjas,2,1,,
507,FURIA,EXTREMUM,2,0,12.0,25.0
508,Bad News Bears,Party Astronauts,16,8,,
509,Secret Club,Recon 5,16,14,,
510,Bad News Bears,YeniCherry,16,9,,
511,GODSENT,TeamOne,16,4,,
512,Party Astronauts,Third Impact,16,10,,
513,LDLC,Endpoint,2,1,,26.0
514,AGF,Copenhagen Flames,2,0,,
515,Gambit,Akuma,2,0,1.0,19.0
516,ex-Marlian,1WIN,2,0,,
517,Entropiq Prague,Enterprise,3,0,,
518,Lilmix,Lemondogs,2,1,,
519,Rhyno,N2E,2,0,,
520,Illuminar,Izako Boars,2,0,,
521,Virtus.pro,Spirit,2,1,5.0,15.0
522,Nordavind,Apeks,2,0,,
523,ENCE,Fiend,2,0,22.0,23.0
524,Unique,ZJ,3,1,,
525,eXploit,sh1zlEEpeek,16,9,,
526,Sprout,EC Brugge,2,0,,
527,LDLC,PIXLIP,2,0,,
528,eSuba,Sampi,2,1,,
529,sh1zlEEpeek,N2E,16,10,,
530,K23,SKADE,2,1,,28.0
531,eXploit,Rhyno,16,12,,
532,Spirit Academy,Pompa,2,0,,
533,ORDER,Renegades,2,0,,
534,Rooster,Dire Wolves,2,1,,
535,Fiend,GROND,2,0,23.0,
536,EXTREMUM,O PLANO,2,0,25.0,24.0
537,Bravos,Jaguares,2,0,,
538,Liquid,FURIA,2,1,14.0,12.0
539,Paquetá,Santos,2,0,,
540,Illuminar,HONORIS,2,0,,
541,NIP,G2,2,1,6.0,3.0
542,Lyngby Vikings,KOVA,2,1,,
543,Entropiq Prague,Sampi,2,0,,
544,Young Ninjas,Lilmix,2,0,,
545,PACT,Izako Boars,2,1,,
546,Spirit,Natus Vincere,2,0,15.0,2.0
547,Endpoint,GAIJIN,2,0,26.0,
548,PIXLIP,Boys without Pyjamas,2,0,,
549,Vinkelparty,Lemondogs,2,0,,
550,Vitality,DBL PONEY,2,0,10.0,27.0
551,Lyngby Vikings,100PG,2,1,,
552,Enterprise,eSuba,2,0,,
553,Endpoint,GamerLegion,2,1,26.0,
554,Sprout,Sangal,2,0,,
555,LDLC,Project Eversio,2,0,,
556,Virtus.pro,Entropiq,2,0,5.0,16.0
557,DBL PONEY,777,2,0,27.0,
558,Dignitas,ttc,2,0,,
559,ex-Marlian,FATE,2,0,,
560,Entropiq,100PG,2,1,16.0,
561,Rooster,Paradox,2,0,,
562,1WIN,MAD Lions,2,1,,
563,Dire Wolves,VERTEX,2,1,,
564,Izako Boars,HAVU,2,0,,
565,Santos,DETONA,2,1,,
566,O PLANO,paiN,2,1,24.0,
567,EXTREMUM,Extra Salt,2,1,25.0,21.0
568,Paquetá,Keyd,2,0,,
569,NIP,Heroic,2,1,6.0,4.0
570,ALTERNATE aTTaX,Nemiga,2,1,,
571,Case,Lilmix,2,0,,
572,LDLC,Movistar Riders,2,0,,
573,Akuma,Virtus.pro,2,0,19.0,5.0
574,Spirit Academy,mCon,2,0,,
575,mousesports,G2,2,0,8.0,3.0
576,Copenhagen Flames,100PG,2,0,,
577,Complexity,Sprout,2,0,13.0,
578,NAVI Junior,GORILLAZ,2,0,,
579,Izako Boars,KOVA,2,1,,
580,EC Brugge,HONORIS,2,0,,
581,Pompa,Nexus,2,1,,
582,Wisla Krakow,HAVU,2,0,,
583,Gambit,Spirit,2,0,1.0,15.0
584,Lyngby Vikings,MAD Lions,2,1,,
585,AGO,Entropiq,2,1,,16.0
586,ORDER,Dire Wolves,2,1,,
587,Dignitas,100PG,2,1,,
588,GROND,BEE,2,0,,
589,GamerLegion,Copenhagen Flames,2,1,,
590,Endpoint,SKADE,2,1,26.0,28.0
591,Fiend,Save's,2,0,23.0,
592,Renegades,Paradox,2,0,,
593,Jaguares,Santos,2,1,,
594,Bravos,Paquetá,2,1,,
595,Liquid,paiN,2,0,14.0,
596,Extra Salt,Secret Club,2,0,21.0,
597,Triumph,QcClan,2,0,,
598,FURIA,Extra Salt,2,1,12.0,21.0
599,CENSRD,Veloz,1,0,,
600,Santos,Keyd,2,1,,
601,Bravos,DETONA,2,0,,
602,FunPlus Phoenix,Sprout,2,1,18.0,
603,Illuminar,PGE Turow,2,0,,
604,NIP,BIG,2,1,6.0,9.0
605,LDLC,Apeks,2,1,,
606,Lemondogs,Granit,2,1,,
607,HONORIS,Wisla Krakow,2,1,,
608,Nemiga,BLINK,2,1,,
609,ZJ,LowLandLions,2,1,,
610,HAVU,Dignitas,2,0,,
611,Natus Vincere,forZe,2,0,2.0,17.0
612,SAW,ALTERNATE aTTaX,2,0,,
613,AGO,Movistar Riders,2,0,,
614,Heroic,Astralis,2,0,4.0,7.0
615,Fiend,100PG,2,0,23.0,
616,Complexity,Anonymo,2,0,13.0,
617,Entropiq,K23,2,1,16.0,
618,Dignitas,SKADE,2,1,,28.0
619,ttc,Sinners,2,0,,
620,AGO,Izako Boars,2,0,,
621,1WIN,Wisla Krakow,1,0,,
622,Entropiq,Copenhagen Flames,2,1,16.0,
623,HAVU,Endpoint,2,0,,26.0
624,Hazard,Sylyx,2,1,,
625,VERTEX,BBBMBCBS,2,0,,
626,Rooster,Skyfire,2,0,,
627,Chiefs,munyanyo,2,0,,
628,Dire Wolves,Overperformers,2,0,,
629,GamerLegion,Lyngby Vikings,2,1,,
630,VERTEX,Bizarre,2,0,,
631,KOVA,Nordavind,2,0,,
632,Party Astronauts,TeamOne,2,0,,
633,GGPR,Recon 5,2,0,,
634,Secret Club,QcClan,2,0,,
635,Extra Salt,Big Chillin,2,0,21.0,
636,Sprout,Anonymo,2,1,,
637,BIG,DBL PONEY,2,1,9.0,27.0
638,100PG,MAD Lions,2,0,,
639,Fiend,Endpoint,2,1,23.0,26.0
640,Sinners,AGO,2,0,,
641,Akuma,Natus Vincere,2,0,19.0,2.0
642,Lilmix,PAPERPLANES,2,0,,
643,Wisla Krakow,Apeks,2,0,,
644,1WIN,Izako Boars,2,0,,
645,Unique,UMX,2,0,,
646,FunPlus Phoenix,Complexity,2,0,18.0,13.0
647,Heroic,Vitality,2,0,4.0,10.0
648,SKADE,Young Ninjas,2,0,28.0,
649,Virtus.pro,forZe,2,1,5.0,17.0
650,100PG,AGO,2,1,,
651,Wisla Krakow,SKADE,2,1,,28.0
652,Copenhagen Flames,Lyngby Vikings,2,1,,
653,SAW,Sinners,2,1,,
654,Chiefs,Rooster,2,1,,
655,Simplicity,Dynasty,2,1,,
656,Dignitas,KOVA,2,1,,
657,Entropiq,Nordavind,2,1,16.0,
658,Hazard,Animal Squad,2,0,,
659,Paradox,Bizarre,2,0,,
660,VERTEX,Overperformers,2,0,,
