team_won,team_lost,winning_score,losing_score
GGPR,QcClan,2,0
BIG,LDLC,2,1
ALTERNATE aTTaX,Ambush,2,1
BLINK,SAW,2,1
Movistar Riders,GamerLegion,2,1
Apeks,Nemiga,2,1
Chetz,EC Brugge,2,1
Sprout,Izako Boars,2,0
Sangal,Sinners,2,0
ALTERNATE aTTaX,Chetz,2,0
Ambush,EC Brugge,2,1
HYENAS,Galaxy Racer,2,1
KOVA,SJ,2,0
Animal Squad,Overperformers,2,0
Chiefs,Simplicity,2,0
ORDER,Skyfire,2,0
Rooster,Bandits,2,0
Dire Wolves,Hazard,2,0
Paradox,munyanyo,2,0
Galaxy Racer,SJ,2,1
Renegades,Sylyx,1,0
HYENAS,KOVA,2,1
Party Astronauts,RBG,2,0
EC Kyiv,Trident,2,0
forZe,LDLC,2,0
BIG,Nemiga,2,0
ONYX,Nexus,2,0
Fiend,4glory,2,0
ex-Marlian,Free TON,2,0
4glory,Nexus,2,0
Fiend,ONYX,2,0
VP.Prodigy,AGF,2,1
Tricked,1WIN,2,0
1WIN,VP.Prodigy,2,0
Tricked,AGF,2,0
GGPR,Big Chillin,2,0
Bad News Bears,GODSENT,2,1
RBG,TeamOne,2,0
Paquetá,INTZ,2,0
Bad News Bears,RBG,2,0
GODSENT,TeamOne,2,0
Entropiq,777,2,0
Virtus.pro,NIP,2,1
EC Kyiv,Trasko,2,1
Red Instinct,mYinsanity,2,0
p0tatos,Finest,2,0
Trident,ASAP,2,0
Nordavind,Fiend,2,1
mYinsanity,PriFu,2,1
G2,Vitality,2,0
Entropiq,Lyngby Vikings,2,0
p0tatos,Infinite,2,1
Finest,19CM GANG,2,0
ex-Marlian,tokyoxd,2,0
Free TON, bankaPEPSI,2,0
OG,Evil Geniuses,2,1
FATE,FORFRIENDS,3,1
GODSENT,Verum,16,10
RBG,paiN,16,8
Gambit,Complexity,2,1
GAIJIN,Red Instinct,2,1
SKADE,Lyngby Vikings,2,1
Virtus.pro,Spirit,2,1
Endpoint,DBL PONEY,2,0
Red Instinct,mYinsanity,2,0
GAIJIN,PriFu,2,0
Lyngby Vikings,Dignitas,2,0
Entropiq,HAVU,2,0
NIP,Heroic,2,0
INTZ,Havan Liberty,2,1
paiN,PDHM,2,0
Paquetá,Bravos,2,1
Gambit,Astralis,2,0
OG,Virtus.pro,2,0
Copenhagen Flames,HAVU,2,0
Evil Geniuses,Heroic,2,1
Complexity,FunPlus Phoenix,2,1
Young Ninjas,Tricked,2,1
Lyngby Vikings,HYENAS,2,0
Dignitas,ENCE,2,1
NIP,fnatic,2,1
Spirit,Imperial,2,0
GamerLegion,Endpoint,2,0
INTZ,Santos,2,1
Bravos,Rehl,2,1
ENCE,AGF,2,1
G2,FunPlus Phoenix,2,1
forZe,BIG,2,1
Astralis,Extra Salt,2,0
Sangal,SAW,2,1
Entropiq,Endpoint,2,0
Complexity,Sprout,2,0
Vitality,Gambit,2,0
Entropiq,Copenhagen Flames,2,0
OG,NIP,16,9
Virtus.pro,fnatic,16,10
HAVU,K23,2,0
Evil Geniuses,Spirit,16,9
Heroic,Imperial,16,8
G2,Extra Salt,16,1
FunPlus Phoenix,Astralis,16,7
Gambit,Sprout,16,6
Vitality,Complexity,16,8
paiN,Mythic,2,0
TeamOne,PDHM,2,0
Havan Liberty,Bravos,16,5
Rehl,Jaguares,16,4
Secret Club,SKDC,1,0
Paquetá,Santos,16,3
INTZ,eLevate,16,12
OG,BIG,2,1
forZe,SAW,2,1
Endpoint,Anonymo,2,1
Movistar Riders,Sangal,2,1
LDLC,ALTERNATE aTTaX,2,0
AGO,Izako Boars,2,0
Nemiga,Wisla Krakow,2,0
BLINK,Apeks,2,0
K23,Fiend,2,0
BIG,Entropiq,2,0
BBBMBCBS,Overperformers,2,1
Entropiq,Nemiga,2,0
OG,Fiend,2,0
Animal Squad,Sylyx,2,0
ORDER,munyanyo,2,0
Recon 5,Big Chillin,2,1
Triumph,GGPR,2,0
paiN,RBG,2,0
Bravos,Rehl,16,8
Party Astronauts,Mythic,2,0
Havan Liberty,Jaguares,16,14
Santos,INTZ,16,11
Paquetá,eLevate,16,11
Sangal,Anonymo,2,1
GamerLegion,AGO,2,0
BIG,Wisla Krakow,2,0
Fiend,fnatic,2,1
Natus Vincere,Entropiq,2,0
HYENAS,Nemiga,2,0
Entropiq,AVE,2,1
BIG,Wisla Krakow,2,0
Rooster,Skyfire,2,0
OG,1WIN,2,0
Paradox,Simplicity,2,0
Renegades,Hazard,2,0
Dire Wolves,R!OT,2,0
Chiefs,Bandits,1,0
Entropiq,forZe,2,0
ENCE,K23,2,1
Sinners,Sprout,2,0
Wisla Krakow,Dignitas,2,1
1WIN,Izako Boars,2,0
Fiend,SKADE,2,0
Fiend,Endpoint,2,0
Entropiq,AGO,2,0
Liquid,FURIA,3,1
GODSENT,Bad News Bears,2,0
paiN,RBG,2,0
Bravos,Paquetá,2,1
mousesports,NIP,2,1
GODSENT,paiN,2,1
Bad News Bears,RBG,2,0
Gambit,Virtus.pro,3,1
19CM GANG,MAD Lions,2,1
Copenhagen Flames,Case,2,0
LDLC,Sprout,3,1
Trasko,Contact Light,2,0
BIG,Astralis,2,1
eXploit,Rhyno,2,1
Illuminar,PACT,2,0
777,Apeks,2,0
Nemiga,AVE,2,0
19CM GANG,ex-Marlian,2,0
Virtus.pro,Akuma,2,0
MAD Lions,calm,2,0
HYENAS,Entropiq,2,1
Rhyno,sh1zlEEpeek,2,0
Lyngby Vikings,NAVI Junior,2,0
Renegades,ORDER,2,0
Fiend,Spirit Academy,2,0
ex-Marlian,LDLC,2,0
Renegades,Rooster,2,0
Extra Salt,paiN,2,0
Paquetá,Jaguares,2,0
GODSENT,Secret Club,16,14
Vinkelparty,Young Ninjas,2,1
FURIA,EXTREMUM,2,0
Bad News Bears,Party Astronauts,16,8
Secret Club,Recon 5,16,14
Bad News Bears,YeniCherry,16,9
GODSENT,TeamOne,16,4
Party Astronauts,Third Impact,16,10
LDLC,Endpoint,2,1
AGF,Copenhagen Flames,2,0
Gambit,Akuma,2,0
ex-Marlian,1WIN,2,0
Entropiq Prague,Enterprise,3,0
Lilmix,Lemondogs,2,1
Rhyno,N2E,2,0
Illuminar,Izako Boars,2,0
Virtus.pro,Spirit,2,1
Nordavind,Apeks,2,0
ENCE,Fiend,2,0
Unique,ZJ,3,1
eXploit,sh1zlEEpeek,16,9
Sprout,EC Brugge,2,0
LDLC,PIXLIP,2,0
eSuba,Sampi,2,1
sh1zlEEpeek,N2E,16,10
K23,SKADE,2,1
eXploit,Rhyno,16,12
Spirit Academy,Pompa,2,0
ORDER,Renegades,2,0
Rooster,Dire Wolves,2,1
Fiend,GROND,2,0
EXTREMUM,O PLANO,2,0
Bravos,Jaguares,2,0
Liquid,FURIA,2,1
Paquetá,Santos,2,0
Illuminar,HONORIS,2,0
NIP,G2,2,1
Lyngby Vikings,KOVA,2,1
Entropiq Prague,Sampi,2,0
Young Ninjas,Lilmix,2,0
PACT,Izako Boars,2,1
Spirit,Natus Vincere,2,0
Endpoint,GAIJIN,2,0
PIXLIP,Boys without Pyjamas,2,0
Vinkelparty,Lemondogs,2,0
Vitality,DBL PONEY,2,0
Lyngby Vikings,100PG,2,1
Enterprise,eSuba,2,0
Endpoint,GamerLegion,2,1
Sprout,Sangal,2,0
LDLC,Project Eversio,2,0
Virtus.pro,Entropiq,2,0
DBL PONEY,777,2,0
Dignitas,ttc,2,0
ex-Marlian,FATE,2,0
Entropiq,100PG,2,1
Rooster,Paradox,2,0
1WIN,MAD Lions,2,1
Dire Wolves,VERTEX,2,1
Izako Boars,HAVU,2,0
Santos,DETONA,2,1
O PLANO,paiN,2,1
EXTREMUM,Extra Salt,2,1
Paquetá,Keyd,2,0
NIP,Heroic,2,1
ALTERNATE aTTaX,Nemiga,2,1
Case,Lilmix,2,0
LDLC,Movistar Riders,2,0
Akuma,Virtus.pro,2,0
Spirit Academy,mCon,2,0
mousesports,G2,2,0
Copenhagen Flames,100PG,2,0
Complexity,Sprout,2,0
NAVI Junior,GORILLAZ,2,0
Izako Boars,KOVA,2,1
EC Brugge,HONORIS,2,0
Pompa,Nexus,2,1
Wisla Krakow,HAVU,2,0
Gambit,Spirit,2,0
Lyngby Vikings,MAD Lions,2,1
AGO,Entropiq,2,1
ORDER,Dire Wolves,2,1
Dignitas,100PG,2,1
GROND,BEE,2,0
GamerLegion,Copenhagen Flames,2,1
Endpoint,SKADE,2,1
Fiend,Save's,2,0
Renegades,Paradox,2,0
Jaguares,Santos,2,1
Bravos,Paquetá,2,1
Liquid,paiN,2,0
Extra Salt,Secret Club,2,0
Triumph,QcClan,2,0
FURIA,Extra Salt,2,1
CENSRD,Veloz,1,0
Santos,Keyd,2,1
Bravos,DETONA,2,0
FunPlus Phoenix,Sprout,2,1
Illuminar,PGE Turow,2,0
NIP,BIG,2,1
LDLC,Apeks,2,1
Lemondogs,Granit,2,1
HONORIS,Wisla Krakow,2,1
Nemiga,BLINK,2,1
ZJ,LowLandLions,2,1
HAVU,Dignitas,2,0
Natus Vincere,forZe,2,0
SAW,ALTERNATE aTTaX,2,0
AGO,Movistar Riders,2,0
Heroic,Astralis,2,0
Fiend,100PG,2,0
Complexity,Anonymo,2,0
Entropiq,K23,2,1
Dignitas,SKADE,2,1
ttc,Sinners,2,0
AGO,Izako Boars,2,0
1WIN,Wisla Krakow,1,0
Entropiq,Copenhagen Flames,2,1
HAVU,Endpoint,2,0
Hazard,Sylyx,2,1
VERTEX,BBBMBCBS,2,0
Rooster,Skyfire,2,0
Chiefs,munyanyo,2,0
Dire Wolves,Overperformers,2,0
GamerLegion,Lyngby Vikings,2,1
VERTEX,Bizarre,2,0
KOVA,Nordavind,2,0
Party Astronauts,TeamOne,2,0
GGPR,Recon 5,2,0
Secret Club,QcClan,2,0
Extra Salt,Big Chillin,2,0
Sprout,Anonymo,2,1
BIG,DBL PONEY,2,1
100PG,MAD Lions,2,0
Fiend,Endpoint,2,1
Sinners,AGO,2,0
Akuma,Natus Vincere,2,0
Lilmix,PAPERPLANES,2,0
Wisla Krakow,Apeks,2,0
1WIN,Izako Boars,2,0
Unique,UMX,2,0
FunPlus Phoenix,Complexity,2,0
Heroic,Vitality,2,0
SKADE,Young Ninjas,2,0
Virtus.pro,forZe,2,1
100PG,AGO,2,1
Wisla Krakow,SKADE,2,1
Copenhagen Flames,Lyngby Vikings,2,1
SAW,Sinners,2,1
Chiefs,Rooster,2,1
Simplicity,Dynasty,2,1
Dignitas,KOVA,2,1
Entropiq,Nordavind,2,1
Hazard,Animal Squad,2,0
Paradox,Bizarre,2,0
VERTEX,Overperformers,2,0
Renegades,R!OT,1,0
Copenhagen Flames,Lyngby Vikings,2,1
HAVU,GamerLegion,2,1
ORDER,Skyfire,2,0
Liquid,EXTREMUM,2,1
FURIA,O PLANO,2,0
Gambit,Entropiq,2,1
Endpoint,Lyngby Vikings,2,1
Dignitas,Sinners,2,0
forZe,Movistar Riders,2,0
Spirit,K23,2,0
SKADE,KOVA,2,1
Fiend,Copenhagen Flames,2,0
Izako Boars,Entropiq,1,0
HAVU,ttc,2,0
Wisla Krakow,Dignitas,2,0
AGO,GamerLegion,2,0
Dire Wolves,Rooster,2,0
1WIN,Nordavind,2,1
100PG,HAVU,2,1
Renegades,VERTEX,2,0
EXTREMUM,Bad News Bears,2,0
Extra Salt,Triumph,2,0
FURIA,Evil Geniuses,2,0
G2,NIP,2,1
Akuma,GROND,2,1
Copenhagen Flames,Spirit Academy,2,1
Sangal,AGF,2,0
Gambit,Nemiga,2,0
mousesports,Astralis,2,0
Lilmix,EC Brugge,2,1
GameAgents,Ambush,2,1
Young Ninjas,DBL PONEY,2,0
Virtus.pro,ex-Marlian,2,0
Lynn Vision,D13,3,1
K23,Trident,2,1
Akuma,Ambush,2,0
Spirit Academy,DBL PONEY,2,0
Bizarre,R!OT,16,5
VERTEX,Bizarre,16,13
Paradox,R!OT,16,7
D13,NKT,2,0
D13,HZ,2,1
Lynn Vision,NKT,2,0
Extra Salt,Liquid,2,1
Furious,9z,2,1
paiN,O PLANO,2,0
DBL PONEY,Anonymo,2,1
GamerLegion,Trident,2,1
Copenhagen Flames,GORILLAZ,2,0
BIG,Sprout,2,1
Entropiq,Virtus.pro,2,0
GROND,GameAgents,2,0
Copenhagen Flames,Young Ninjas,2,1
DBL PONEY,Case,2,0
Nemiga, bankaPEPSI,2,0
GamerLegion,UMX,2,0
Akuma,Clutch Rayn,2,0
Marlian,1WIN,2,1
HZ,w2c,2,1
GROND,TheDice,2,0
D13,Checkmate,2,0
Dire Wolves,Chiefs,16,12
Skyfire,Carnal Instinct,16,5
ORDER,FURY,16,3
Rooster,Bizarre,16,6
NKT,Checkmate,2,1
Lynn Vision,HZ,2,0
Liquid,Bad News Bears,2,1
Furious,Isurus,2,0
9z,Durany,2,1
O PLANO,FURIA,2,0
Heroic,Complexity,2,0
Nordavind,KOVA,2,1
Copenhagen Flames,LDLC,2,0
Trident,IN.GAME,2,1
Vitality,FunPlus Phoenix,2,1
Spirit Academy,MAD Lions,2,1
Apeks,NAVI Junior,2,0
Natus Vincere,Gambit,2,0
Izako Boars,Sangal,2,0
KOVA,Galaxy Racer,2,0
Akuma,K23,2,0
Young Ninjas,SKADE,2,0
100PG,NASR,2,1
DBL PONEY,Apeks,2,0
Extra Salt,EXTREMUM,2,0
paiN,Evil Geniuses,2,1
Furious,Coscu Army,2,0
NIP,FunPlus Phoenix,2,0
Durany,River Plate,2,1
Young Ninjas,777,2,0
G2,Heroic,2,1
Gambit,Trident,2,0
DBL PONEY,Nordavind,2,0
SAW,forZe,2,1
Lyngby Vikings,Astralis Talent,2,0
Natus Vincere, bankaPEPSI,2,0
Young Ninjas,NAVI Junior,2,0
Wisla Krakow,Sangal,2,0
Galaxy Racer,Ambush,2,0
MAD Lions,EC Brugge,2,0
SKADE,Endpoint,2,0
Lyngby Vikings,NASR,2,0
GamerLegion,KOVA,2,0
Spirit Academy,Galaxy Racer,2,0
100PG,GORILLAZ,2,1
Izako Boars,OFFSET,2,0
paiN,TeamOne,2,0
RBG,CENSRD,2,0
ChocoCheck,GGPR,2,0
Party Astronauts,PDHM,2,0
Extra Salt,SKDC,2,0
Isurus,Durany,16,2
River Plate,PUGZEIROS,16,4
9z,Furious,16,14
Coscu Army,Meta PY,16,6
SKADE,AGO,2,0
PACT,Wisla Krakow,2,0
mousesports,BIG,2,0
LDLC,BLINK,2,1
Spirit,Entropiq,2,0
Apeks,Budapest Five,2,1
Astralis,DBL PONEY,2,0
Fiend,NASR,2,1
SAW,Nemiga,2,0
1WIN,Wisla Krakow,2,0
Izako Boars,Illuminar,2,0
forZe,Virtus.pro,2,1
Anonymo,HYENAS,2,1
Sinners,Movistar Riders,2,0
Sangal,GORILLAZ,2,1
Copenhagen Flames,Tricked,2,1
Lyngby Vikings,100PG,2,0
GamerLegion,Izako Boars,1,0
Young Ninjas,Entropiq,2,0
Skyfire,Bandits,2,1
KOVA,OFFSET,2,1
Akuma,1WIN,2,0
VERTEX,Hazard,2,0
ORDER,Chiefs,2,0
Paradox,Rooster,2,0
Overperformers,Sylyx,2,0
GamerLegion,Izako Boars,2,0
LDLC,GORILLAZ,2,1
Dire Wolves,Animal Squad,2,0
Ambush,hREDS,2,0
Galaxy Racer,Iberian Family,2,0
Veloz,Mythic,2,1
O PLANO,TeamOne,2,1
Third Impact,RBG,2,0
Party Astronauts,CENSRD,2,0
Recon 5,QcClan,2,0
Isurus,River Plate,16,7
Durany,PUGZEIROS,16,9
Bad News Bears,GODSENT,2,1
ChocoCheck,SKDC,1,0
Furious,Coscu Army,22,18
9z,Meta PY,16,4
Sinners,Movistar Riders,2,1
SAW,BIG,2,1
KOVA,hREDS,2,1
K23,Nemiga,2,0
AGO,Endpoint,2,0
Sangal,GamerLegion,2,0
Wisla Krakow,LDLC,2,0
Fiend,Izako Boars,2,0
NASR,GamerLegion,2,1
Marlian,GROND,2,0
Wisla Krakow,Lyngby Vikings,2,0
IN.GAME,100PG,2,0
R!OT,Overperformers,2,1
100PG,Galaxy Racer,2,0
1WIN,Sangal,2,0
Simplicity,Bandits,2,0
Dire Wolves,BBBMBCBS,2,0
Chiefs,Dynasty,2,0
Renegades,Animal Squad,2,0
Rooster,munyanyo,1,0
OFFSET,Ambush,2,1
GORILLAZ,Caronte,2,0
TeamOne,RBG,2,0
GODSENT,Triumph,2,0
Virtus.pro,Trident,1,0
Budapest Five,Nexus,2,0
1WIN,hREDS,2,0
Wisla Krakow,Ambush,2,0
Spirit,Gambit,2,0
Budapest Five,Sangal,2,0
NASR,Galaxy Racer,2,1
GamerLegion,100PG,2,0
Sangal,Nexus,2,1
Izako Boars,GORILLAZ,2,0
Lyngby Vikings,OFFSET,2,0
Sangal,KOVA,2,1
Fiend,Caronte,2,0
paiN,Bad News Bears,2,0
Party Astronauts,Veloz,2,0
Secret Club,Third Impact,2,0
MIBR,Sharks,2,1
Extra Salt,O PLANO,2,0
Third Impact,Veloz,2,1
Secret Club,Party Astronauts,2,1
Paquetá,Bravos,2,0
forZe,Nemiga,2,1
Young Ninjas,NAVI Junior,2,0
Sangal,Istanbul Wildcats,3,0
Sprout,FaZe,2,1
AGO,HONORIS,2,0
Entropiq,Natus Vincere,2,0
Trident,Save's,2,0
Sangal,Apeks,2,0
1WIN,100PG,2,0
paiN,RBG,2,0
Sharks,Paquetá,2,0
Bad News Bears,TeamOne,2,0
MIBR,Bravos,2,0
AGO,Anonymo,2,1
Complexity,fnatic,2,0
Sprout,Unicorns of Love,2,1
 bankaPEPSI,IN.GAME,2,1
Case,EC Brugge,2,0
